IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOREIS,NEWREG                              ,2026-04-04-06.59.50.528000,,MAXADMIN
  MUNIRAVALENTI,BLOCKED                             ,2017-07-28-06.04.31.000000,,MAXADMIN
  MUNIRAVALENTI,INACTIVE                            ,2018-08-08-08.49.18.000000,,MAXADOOG
  MUNIRAVALENTIM,INACTIVE                            ,2019-02-11-17.31.53.000000,Saneamento de acordo com informação do capitao em 11/02,MAXADOOG
  MUNIRAVALENTIM,ACTIVE                              ,2019-01-28-18.08.27.000000,,MAXADMIN
  MURILOBRAZ,ACTIVE                              ,2019-10-28-18.14.27.000000,,MAXADOOG
  MURILOBRAZ,ACTIVE                              ,2023-10-11-09.27.31.000000,,MAXADOOG
  MURILOBRAZ,INACTIVE                            ,2023-12-07-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MURILOBRAZ,INACTIVE                            ,2021-07-10-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MURILOLIMA,NEWREG                              ,2024-03-04-16.32.45.000000,,MAXADMIN
  MURILOLIMA,ACTIVE                              ,2025-02-07-18.33.18.000000,,ANDREGIACOMELI
  MURILOLIMA,INACTIVE                            ,2025-03-30-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MURILOLIMA,NEWREG                              ,2025-02-05-17.33.25.000000,,MAXADMIN
  MURILOLIMA,INACTIVE                            ,2024-05-01-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MURILOLIMA,ACTIVE                              ,2024-03-04-16.33.53.000000,,JOSESANTOS
  MURILOSANTOS,ACTIVE                              ,2025-01-21-14.28.57.000000,,ANDREGIACOMELI
  MURILOSANTOS,INACTIVE                            ,2025-03-26-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  MURILOSANTOS,NEWREG                              ,2025-01-21-14.27.34.000000,,MAXADMIN
  MVIEIRA,ACTIVE                              ,2014-05-12-19.37.04.000000,,MAXADMIN
  MVIEIRA,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  MVSGJUNIOR,ACTIVE                              ,2026-02-04-10.51.24.885000,,ITEAM
  MVSGJUNIOR,INACTIVE                            ,2026-03-27-07.45.00.647000,Usuario inativo por mais de 50 dias,MAXADMIN
  MWALDRON,ACTIVE                              ,2014-06-03-17.00.05.000000,,MAXADMIN
  MWALDRON,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  NAKITAGABRIEL,ACTIVE                              ,2014-05-05-10.25.03.000000,,MAXADMIN
  NAKITAGABRIEL,ACTIVE                              ,2017-05-25-12.16.02.000000,,HELPDESK
  NAKITAGABRIEL,BLOCKED                             ,2017-05-25-12.08.29.000000,,MAXADMIN
  NAKITAGABRIEL,ACTIVE                              ,2017-05-19-17.21.49.000000,,MAXADOOG
  NAKITAGABRIEL,INACTIVE                            ,2017-03-20-14.48.41.000000,Saneamento usuário março/17,MAXADOOG
  NAKITAGABRIEL,BLOCKED                             ,2018-05-22-02.06.28.000000,,MAXADMIN
  NAKITAGABRIEL,ACTIVE                              ,2018-10-21-07.34.02.000000,,MAXADMIN
  NAKITAGABRIEL,INACTIVE                            ,2019-07-08-13.52.06.000000,Ticket#083627 - Rescisão Contratual - 03/05/19,JULINECAETANO
  NAKITAGABRIEL,ACTIVE                              ,2019-03-22-07.13.17.000000,,MAXADMIN
  NAKITAGABRIEL,BLOCKED                             ,2018-10-21-07.29.08.000000,,MAXADMIN
  NAKITAGABRIEL,BLOCKED                             ,2019-03-22-07.11.02.000000,,MAXADMIN
  NAKITAGABRIEL,ACTIVE                              ,2018-05-22-02.22.30.000000,010100,PATRICKLEAL
  NATALIALOPES,ACTIVE                              ,2018-04-06-14.35.06.000000,,JULINECAETANO
  NATALIALOPES,ACTIVE                              ,2019-04-05-11.36.10.000000,Ticket#076892 — ENC: Acessos Máximo,THIAGOFROES
  NATALIALOPES,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  NATALIALOPES,INACTIVE                            ,2020-06-09-20.32.34.000000,,MAXADOOG
  NATALIAMENDES,NEWREG                              ,2024-01-06-13.50.42.000000,,MAXADMIN
  NATALIAMENDES,INACTIVE                            ,2024-02-26-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NATALIAMENDES,ACTIVE                              ,2024-01-06-13.55.27.000000,,JOSESANTOS
  NATHALIAMACHADO,INACTIVE                            ,2024-09-14-06.00.07.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NATHALIAMACHADO,ACTIVE                              ,2024-07-24-15.12.55.000000,,ITEAM
  NEIDSONCOSTA,ACTIVE                              ,2024-04-03-13.32.24.000000,,JOSESANTOS
  NEIDSONCOSTA,INACTIVE                            ,2024-05-11-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  NEIDSONCOSTA,NEWREG                              ,2024-04-03-13.31.44.000000,,MAXADMIN
  NEIDSONSOUZA,ACTIVE                              ,2015-11-06-08.44.58.000000,,MAXADMIN
  NEIDSONSOUZA,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  NEILSONFAQUER,ACTIVE                              ,2024-10-06-07.34.56.000000,,JOSESANTOS
  NEILSONFAQUER,INACTIVE                            ,2026-03-26-07.45.02.372000,Usuario inativo por mais de 50 dias,MAXADMIN
  NEILSONFAQUER,ACTIVE                              ,2025-10-13-14.15.39.000000,,RAFAELLANA
  NEILSONFAQUER,INACTIVE                            ,2025-02-19-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NEILSONFAQUER,ACTIVE                              ,2024-12-27-18.51.14.000000,,JOSESANTOS
  NEILSONFAQUER,NEWREG                              ,2024-10-06-07.32.25.000000,,MAXADMIN
  NEILSONFAQUER,INACTIVE                            ,2024-12-02-14.57.24.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NEILSONJUNIOR,INACTIVE                            ,2024-09-02-06.00.07.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NEILSONJUNIOR,NEWREG                              ,2024-07-13-15.24.50.000000,,MAXADMIN
  NEILSONJUNIOR,ACTIVE                              ,2024-07-13-15.27.05.000000,,JOSESANTOS
  NENADPALAVERSA,ACTIVE                              ,2016-03-07-14.49.10.000000,,JULINECAETANO
  NENADPALAVERSA,INACTIVE                            ,2017-03-20-14.48.41.000000,Saneamento usuário março/17,MAXADOOG
  NERCILIANDERCUNHA,ACTIVE                              ,2024-01-14-15.04.32.000000,,ANDREGIACOMELI
  NERCILIANDERCUNHA,INACTIVE                            ,2024-03-07-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NERCILIANDERCUNHA,NEWREG                              ,2024-01-14-15.03.49.000000,,MAXADMIN
  NETERCIOBARBOSA,ACTIVE                              ,2014-05-01-23.08.37.000000,,MAXADMIN
  NETERCIOBARBOSA,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  NEVESGUSTAVO,NEWREG                              ,2026-05-19-19.40.48.043000,,MAXADMIN
  NEVESGUSTAVO,INACTIVE                            ,2026-06-03-01.00.02.563000,Automatic Inativate expired user access,MAXADMIN
  NEVESGUSTAVO,ACTIVE                              ,2026-05-19-19.47.39.191000,,RAFAELLANA
  NEYDINIZ,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  NEYDINIZ,ACTIVE                              ,2015-11-06-08.56.11.000000,,MAXADMIN
  NICHOLASALMEIDA,ACTIVE                              ,2026-05-21-11.14.49.868000,,ITEAM
  NICHOLASALMEIDA,INACTIVE                            ,2026-07-11-07.45.02.707000,Usuario inativo por mais de 50 dias,MAXADMIN
  NICOLASSANTANAV,ACTIVE                              ,2025-08-05-16.24.39.000000,,ITEAM
  NICOLASSANTANAV,INACTIVE                            ,2025-10-11-06.00.13.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NICOLASVIEIRA,ACTIVE                              ,2025-04-15-19.00.07.000000,,ANDREGIACOMELI
  NICOLASVIEIRA,INACTIVE                            ,2026-03-26-07.45.01.648000,Usuario inativo por mais de 50 dias,MAXADMIN
  NICOLASVIEIRA,ACTIVE                              ,2025-09-13-19.47.29.000000,,ANDREGIACOMELI
  NICOLASVIEIRA,INACTIVE                            ,2025-08-24-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NICOLASVIEIRA,NEWREG                              ,2025-04-15-18.58.53.000000,,MAXADMIN
  NICOLEREICHERT,ACTIVE                              ,2014-05-05-20.28.45.000000,,MAXADMIN
  NICOLEREICHERT,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  NICOLESILVEIRA,ACTIVE                              ,2018-09-21-15.54.09.000000,,JULINECAETANO
  NICOLESILVEIRA,INACTIVE                            ,2020-11-06-14.55.36.000000,Ticket#0176294 - Rescisao 03/11/2020,VANIASANTOS
  NICOLESILVEIRA,ACTIVE                              ,2019-09-10-11.35.03.000000,,MAXADOOG
  NICOLESILVEIRA,INACTIVE                            ,2019-02-11-17.31.53.000000,Saneamento de acordo com informação do capitao em 11/02,MAXADOOG
  NILDACUNHA,ACTIVE                              ,2019-05-13-07.58.05.000000,,MAXADOOG
  NILDACUNHA,INACTIVE                            ,2021-03-11-14.37.06.000000,Ticket#0190443,ITEAM
  NILSONBARBOSAA,BLOCKED                             ,2025-06-21-18.29.07.000000,,MAXADMIN
  NILSONBARBOSAA,ACTIVE                              ,2025-06-21-18.33.02.000000,,MAXADMIN
  NILSONBARBOSAA,INACTIVE                            ,2025-08-14-06.00.09.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NILSONBARBOSAA,ACTIVE                              ,2025-06-10-19.30.46.000000,,MAXADOOG
  NILSONSOUSA,ACTIVE                              ,2024-12-02-17.08.44.000000,,JOSESANTOS
  NILSONSOUSA,INACTIVE                            ,2025-01-28-06.00.18.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NILSONSOUSA,NEWREG                              ,2024-12-02-17.06.46.000000,,MAXADMIN
  NIVALDOJUNIOR,BLOCKED                             ,2022-01-13-09.48.03.000000,,MAXADMIN
  NIVALDOJUNIOR,INACTIVE                            ,2022-08-13-06.00.15.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NIVALDOJUNIOR,ACTIVE                              ,2022-01-12-15.18.45.000000,,ITEAM
  NIVALDOJUNIOR,ACTIVE                              ,2022-01-13-10.39.39.000000,,MAXADMIN
  NIVALDOJUNIOR,BLOCKED                             ,2022-01-13-10.30.41.000000,,MAXADMIN
  NIVALDOJUNIOR,ACTIVE                              ,2022-01-13-09.49.39.000000,,MAXADMIN
  NIXONRANGEL,NEWREG                              ,2024-01-30-10.58.13.000000,,MAXADMIN
  NIXONRANGEL,ACTIVE                              ,2024-02-25-18.52.59.000000,,JOSESANTOS
  NIXONRANGEL,INACTIVE                            ,2024-02-24-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,ACTIVE                              ,2024-02-24-17.50.24.000000,,JOSESANTOS
  NIXONRANGEL,ACTIVE                              ,2024-02-23-06.24.00.000000,,ANDREGIACOMELI
  NIXONRANGEL,INACTIVE                            ,2024-02-23-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,INACTIVE                            ,2024-02-22-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,INACTIVE                            ,2024-02-21-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,ACTIVE                              ,2024-02-20-05.46.15.000000,,ANDREGIACOMELI
  NIXONRANGEL,ACTIVE                              ,2024-02-18-05.41.44.000000,,ANDREGIACOMELI
  NIXONRANGEL,ACTIVE                              ,2024-02-26-06.07.33.000000,,ANDREGIACOMELI
  NIXONRANGEL,INACTIVE                            ,2024-02-26-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,INACTIVE                            ,2024-02-25-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,INACTIVE                            ,2024-02-19-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,ACTIVE                              ,2024-02-27-18.54.28.000000,,JOSESANTOS
  NIXONRANGEL,ACTIVE                              ,2024-01-30-11.00.21.000000,,JOSESANTOS
  NIXONRANGEL,INACTIVE                            ,2024-03-31-01.00.01.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,INACTIVE                            ,2024-02-15-00.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,ACTIVE                              ,2024-02-22-08.29.57.000000,Ticket#0341821 — Maximo N06 - Usuário Inativo,ITEAM
  NIXONRANGEL,ACTIVE                              ,2024-02-21-05.50.12.000000,,ANDREGIACOMELI
  NIXONRANGEL,INACTIVE                            ,2024-02-20-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,INACTIVE                            ,2024-02-27-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  NIXONRANGEL,ACTIVE                              ,2024-02-19-05.51.49.000000,,ANDREGIACOMELI
  NOGUEIRAPEDRO,ACTIVE                              ,2024-10-27-16.15.04.000000,,ANDREGIACOMELI
  NOGUEIRAPEDRO,NEWREG                              ,2024-10-27-16.13.59.000000,,MAXADMIN
  NOGUEIRAPEDRO,INACTIVE                            ,2024-12-17-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NUBIAOLIVEIRA,ACTIVE                              ,2025-04-06-21.37.25.000000,,MAXADMIN
  NUBIAOLIVEIRA,INACTIVE                            ,2025-06-25-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  NUBIAOLIVEIRA,BLOCKED                             ,2025-05-05-22.14.55.000000,,MAXADMIN
  NUBIAOLIVEIRA,ACTIVE                              ,2025-04-04-09.15.04.000000,,ITEAM
  NUBIAOLIVEIRA,ACTIVE                              ,2025-05-05-22.17.39.000000,,MAXADMIN
  NUBIAOLIVEIRA,BLOCKED                             ,2025-04-06-21.35.47.000000,,MAXADMIN
  NYKOLASNEVES,ACTIVE                              ,2023-12-27-09.56.05.000000,,ITEAM
  NYKOLASNEVES,INACTIVE                            ,2024-03-10-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OCTACILIODESOUSA,NEWREG                              ,2024-03-11-14.34.32.000000,,MAXADMIN
  OCTACILIODESOUSA,INACTIVE                            ,2024-10-16-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OCTACILIODESOUSA,ACTIVE                              ,2024-08-26-06.42.10.000000,,ANDREGIACOMELI
  OCTACILIODESOUSA,INACTIVE                            ,2024-03-30-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  OCTACILIODESOUSA,ACTIVE                              ,2024-03-11-14.36.44.000000,,ANDREGIACOMELI
  OLIVEIRASANTOS,NEWREG                              ,2025-01-26-05.39.15.000000,,MAXADMIN
  OLIVEIRASANTOS,INACTIVE                            ,2025-04-18-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OLIVEIRASANTOS,ACTIVE                              ,2025-01-26-05.40.20.000000,,ANDREGIACOMELI
  OLIVIAJULIANELLI,ACTIVE                              ,2015-03-11-17.40.56.000000,,MAXADMIN
  OLIVIAJULIANELLI,ACTIVE                              ,2017-07-12-20.06.35.000000,IR130627,MAXADOOG
  OLIVIAJULIANELLI,INACTIVE                            ,2017-07-03-18.00.55.000000,,MAXADMIN
  OLIVIAJULIANELLI,INACTIVE                            ,2019-02-11-17.31.53.000000,Saneamento de acordo com informação do capitao em 11/02,MAXADOOG
  OLIVIAJULIANELLI,INACTIVE                            ,2022-07-14-06.00.15.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OLIVIAJULIANELLI,INACTIVE                            ,2021-10-23-05.00.24.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OLIVIAJULIANELLI,INACTIVE                            ,2023-07-01-06.00.09.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OLIVIAJULIANELLI,ACTIVE                              ,2022-09-20-13.17.42.000000,,ITEAM
  OLIVIAJULIANELLI,ACTIVE                              ,2023-05-10-15.51.22.000000,Ticket#0293002,HELPDESK
  OLIVIAJULIANELLI,ACTIVE                              ,2022-05-09-13.12.00.000000,,ITEAM
  OLIVIAJULIANELLI,INACTIVE                            ,2022-09-21-06.02.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OLIVIAJULIANELLI,ACTIVE                              ,2019-05-24-10.58.48.000000,,MAXADOOG
  OOGMON,ACTIVE                              ,2015-09-02-11.39.06.000000,,MAXADMIN
  OOGMON,INACTIVE                            ,2017-03-20-14.48.41.000000,Saneamento usuário março/17,MAXADOOG
  ORLANDONETO,ACTIVE                              ,2019-09-10-10.56.09.000000,,MAXADOOG
  OSIELBARRETO,ACTIVE                              ,2023-08-25-16.20.34.000000,,ITEAM
  OSIELBARRETO,INACTIVE                            ,2023-10-15-05.00.17.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OSIVALDOSANTOS,INACTIVE                            ,2023-12-18-07.13.10.000000,Automatic Inativate expired user access,MAXADMIN
  OSIVALDOSANTOS,ACTIVE                              ,2023-12-05-19.48.59.000000,,JOSESANTOS
  OSIVALDOSANTOS,NEWREG                              ,2023-12-05-19.30.47.000000,,MAXADMIN
  OSVALDIRFILHO,NEWREG                              ,2024-01-13-09.36.41.000000,,MAXADMIN
  OSVALDIRFILHO,INACTIVE                            ,2024-03-11-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OSVALDIRFILHO,ACTIVE                              ,2024-01-13-09.37.47.000000,,ANDREGIACOMELI
  OSVALDOALVESJUNIOR,INACTIVE                            ,2023-12-24-00.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  OSVALDOALVESJUNIOR,NEWREG                              ,2023-12-11-07.19.51.000000,,MAXADMIN
  OSVALDOALVESJUNIOR,ACTIVE                              ,2023-12-11-09.18.43.000000,,JOSESANTOS
  OSWALDONETO,ACTIVE                              ,2024-01-07-17.32.33.000000,,JOSESANTOS
  OSWALDONETO,INACTIVE                            ,2024-03-01-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OSWALDONETO,ACTIVE                              ,2024-01-10-09.18.37.000000,,MAXADMIN
  OSWALDONETO,BLOCKED                             ,2024-01-10-09.11.20.000000,,MAXADMIN
  OSWALDONETO,NEWREG                              ,2024-01-07-17.32.05.000000,,MAXADMIN
  OSWALDSOUZA,NEWREG                              ,2024-12-28-13.52.57.000000,,MAXADMIN
  OSWALDSOUZA,INACTIVE                            ,2025-02-17-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  OSWALDSOUZA,ACTIVE                              ,2024-12-28-13.53.26.000000,,JOSESANTOS
  OTAVIOSABATINELLI,ACTIVE                              ,2015-01-16-12.27.00.000000,,MAXADMIN
  OTAVIOSABATINELLI,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  PABLOCABRAL,ACTIVE                              ,2024-01-17-14.09.31.000000,,ITEAM
  PABLOCABRAL,ACTIVE                              ,2026-06-16-10.01.58.694000,Ticket#2026061629000938,HELPDESK
  PABLOCABRAL,INACTIVE                            ,2026-06-11-07.45.03.925000,Usuario inativo por mais de 50 dias,MAXADMIN
  PABLOCABRAL,ACTIVE                              ,2025-11-19-08.54.01.000000,,MAXADOOG
  PABLOCABRAL,INACTIVE                            ,2025-05-28-06.00.12.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PABLOCABRAL,ACTIVE                              ,2025-04-02-07.52.57.000000,2025040229000022,HELPDESK
  PABLOCABRAL,INACTIVE                            ,2024-09-19-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PABLOCABRAL,ACTIVE                              ,2024-06-19-15.56.29.000000,0362203,HELPDESK
  PABLOCABRAL,INACTIVE                            ,2024-03-08-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PABLOMATIELO,ACTIVE                              ,2024-10-05-03.44.50.000000,,JOSESANTOS
  PABLOMATIELO,INACTIVE                            ,2025-10-27-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PABLOMATIELO,ACTIVE                              ,2025-09-07-02.50.44.000000,,RAFAELLANA
  PABLOMATIELO,NEWREG                              ,2025-08-27-22.18.29.000000,,ITEAM
  PABLOMATIELO,INACTIVE                            ,2024-11-27-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PABLOMATIELO,NEWREG                              ,2024-10-05-03.44.09.000000,,MAXADMIN
  PABLOSIMAO,ACTIVE                              ,2024-12-27-12.52.37.000000,,ITEAM
  PABLOSIMAO,INACTIVE                            ,2026-03-26-07.45.02.573000,Usuario inativo por mais de 50 dias,MAXADMIN
  PABLOSIMAO,ACTIVE                              ,2025-10-18-14.33.35.000000,,HELPDESK
  PABLOSIMAO,ACTIVE                              ,2025-03-14-05.42.04.000000,,HELPDESK
  PABLOSIMAO,INACTIVE                            ,2025-05-11-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PABLOSIMAO,ACTIVE                              ,2025-03-15-03.29.02.000000,,MAXADMIN
  PABLOSIMAO,BLOCKED                             ,2025-03-15-03.21.20.000000,,MAXADMIN
  PABLOSIMAO,INACTIVE                            ,2025-02-17-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PAMMELASANTOS,ACTIVE                              ,2022-06-20-07.00.53.000000,,MAXADMIN
  PAMMELASANTOS,ACTIVE                              ,2023-10-11-16.01.53.000000,,ITEAM
  PAMMELASANTOS,INACTIVE                            ,2023-10-12-06.00.23.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PAMMELASANTOS,INACTIVE                            ,2022-12-07-05.00.10.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PAMMELASANTOS,ACTIVE                              ,2022-06-20-08.00.52.000000,,MAXADMIN
  PAMMELASANTOS,ACTIVE                              ,2022-03-23-09.31.36.000000,,MAXADMIN
  PAMMELASANTOS,ACTIVE                              ,2022-01-07-08.14.39.000000,,ITEAM
  PAMMELASANTOS,BLOCKED                             ,2022-04-30-06.51.03.000000,,MAXADMIN
  PAMMELASANTOS,ACTIVE                              ,2022-04-30-07.00.28.000000,,MAXADMIN
  PAMMELASANTOS,BLOCKED                             ,2022-03-23-09.24.46.000000,,MAXADMIN
  PAMMELASANTOS,BLOCKED                             ,2022-06-20-07.53.31.000000,,MAXADMIN
  PAMMELASANTOS,BLOCKED                             ,2022-06-20-06.53.24.000000,,MAXADMIN
  PARTHUR,ACTIVE                              ,2017-05-02-17.11.45.000000,,MAXADMIN
  PARTHUR,INACTIVE                            ,2021-02-26-08.25.29.000000,Usuario inativo por nao acessar o sistema,MAXADOOG
  PARTHUR,ACTIVE                              ,2020-09-23-17.06.14.000000,Ticket#0169750 — Acesso aos maximos das sondas,VANIASANTOS
  PARTHUR,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  PASSOSEDEGILDO,NEWREG                              ,2026-06-12-20.31.50.317000,,MAXADMIN
  PASSOSEDEGILDO,ACTIVE                              ,2026-07-07-05.54.55.808000,,ANDREGIACOMELI
  PASSOSEDEGILDO,INACTIVE                            ,2026-07-07-01.00.02.165000,Automatic Inativate expired user access,MAXADMIN
  PASSOSEDEGILDO,ACTIVE                              ,2026-07-06-10.56.06.296000,Ticket#2026070429000235 — Acesso ao maximo N06,ITEAM
  PASSOSEDEGILDO,INACTIVE                            ,2026-06-27-01.00.01.546000,Automatic Inativate expired user access,MAXADMIN
  PASSOSEDEGILDO,ACTIVE                              ,2026-06-12-20.32.52.402000,,ANDREGIACOMELI
  PATRICIALIMA,ACTIVE                              ,2024-06-06-10.29.32.000000,,ITEAM
  PATRICIALIMA,INACTIVE                            ,2024-07-27-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PATRICIASOUSA,ACTIVE                              ,2018-08-14-10.12.53.000000,,MAXADMIN
  PATRICIASOUSA,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  PATRICKBARROS,NEWREG                              ,2024-08-20-20.13.58.000000,,MAXADMIN
  PATRICKBARROS,INACTIVE                            ,2025-04-23-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PATRICKBARROS,ACTIVE                              ,2025-02-13-16.34.05.000000,,ANDREGIACOMELI
  PATRICKBARROS,NEWREG                              ,2025-02-13-16.26.26.000000,,MAXADMIN
  PATRICKBARROS,INACTIVE                            ,2024-10-13-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PATRICKBARROS,ACTIVE                              ,2024-08-20-20.15.55.000000,,JOSESANTOS
  PATRICKJOSE,ACTIVE                              ,2026-05-20-15.44.48.940000,,ITEAM
  PATRICKJOSE,INACTIVE                            ,2026-07-10-07.45.02.195000,Usuario inativo por mais de 50 dias,MAXADMIN
  PATRICKLEAL,ACTIVE                              ,2017-11-27-17.34.37.000000,,MAXADMIN
  PATRICKLEAL,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  PATRICKMANHAES,ACTIVE                              ,2025-06-30-14.39.00.000000,,ITEAM
  PATRICKMANHAES,INACTIVE                            ,2025-08-30-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  PATRICKPACHECO,NEWREG                              ,2026-01-02-17.12.22.164000,,ITEAM
  PATRICKPACHECO,INACTIVE                            ,2026-03-26-07.45.04.563000,Usuario inativo por mais de 50 dias,MAXADMIN
  PATRICKPACHECO,ACTIVE                              ,2026-01-02-17.14.24.122000,,ANDREGIACOMELI
  PATRICKPIRES,ACTIVE                              ,2025-12-10-11.37.43.523000,,ITEAM
  PATRICKPIRES,INACTIVE                            ,2026-03-26-07.45.03.849000,Usuario inativo por mais de 50 dias,MAXADMIN
  PATRICKPIRES,ACTIVE                              ,2026-01-29-15.10.00.186000,,MAXADMIN
  PATRICKPIRES,BLOCKED                             ,2026-01-29-15.01.59.483000,,MAXADMIN
  PATRIKTAVARES,NEWREG                              ,2026-03-15-18.05.27.068000,,MAXADMIN
  PATRIKTAVARES,INACTIVE                            ,2026-05-05-07.45.05.706000,Usuario inativo por mais de 50 dias,MAXADMIN
  PATRIKTAVARES,ACTIVE                              ,2026-03-15-18.07.02.973000,,ANDREGIACOMELI
  PAULO.OLIVEIRA,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  PAULO.OLIVEIRA,ACTIVE                              ,2016-03-07-12.01.41.000000,,MAXADMIN
  PAULOALVES,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  PAULOALVES,ACTIVE                              ,2017-03-28-14.00.10.000000,,MAXADOOG
  PAULOALVES,BLOCKED                             ,2017-03-28-10.08.35.000000,,MAXADMIN
  PAULOALVES,ACTIVE                              ,2017-03-20-13.39.15.000000,Solicitado por email 20/03/17,MAXADOOG
