IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOPEDROSO,NEWREG                              ,2025-02-15-19.43.21.000000,,MAXADMIN
  REMILSANTOS,INACTIVE                            ,2024-04-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENANAVNER,INACTIVE                            ,2019-09-06-16.30.46.000000,,MAXADOOG
  RENANAVNER,ACTIVE                              ,2018-08-30-08.15.58.000000,,MAXADMIN
  RENANAZEVEDO,INACTIVE                            ,2024-12-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENANAZEVEDO,INACTIVE                            ,2025-07-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENANAZEVEDO,NEWREG                              ,2025-04-08-18.41.26.000000,,MAXADMIN
  RENANAZEVEDO,ACTIVE                              ,2025-04-08-18.46.46.000000,,RENATOSOARES
  RENANAZEVEDO,ACTIVE                              ,2024-11-09-09.17.00.000000,,LUIZFELIPE
  RENANAZEVEDO,NEWREG                              ,2024-11-08-12.13.51.000000,,MAXADMIN
  RENANAZEVEDOBENTO,NEWREG                              ,2024-11-06-21.01.50.000000,,MAXADMIN
  RENANBENTO,NEWREG                              ,2024-10-26-13.13.19.000000,,MAXADMIN
  RENANBENTO,INACTIVE                            ,2024-11-13-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RENANBENTO,ACTIVE                              ,2024-10-28-10.27.51.000000,Ticket#0376739 — Login MAXIMO,ITEAM
  RENANBENTOAZEVEDO,NEWREG                              ,2024-11-06-21.03.36.000000,,MAXADMIN
  RENANBEZERRA,ACTIVE                              ,2025-01-20-06.26.08.000000,,RENATOSOARES
  RENANBEZERRA,INACTIVE                            ,2025-03-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENANBEZERRA,NEWREG                              ,2025-01-20-06.25.32.000000,,MAXADMIN
  RENANCARVALHO,BLOCKED                             ,2019-12-26-10.25.14.000000,,MAXADMIN
  RENANCARVALHO,INACTIVE                            ,2021-09-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENANCARVALHO,ACTIVE                              ,2019-12-26-10.26.57.000000,,MAXADMIN
  RENANCARVALHO,ACTIVE                              ,2019-08-20-16.36.09.000000,,THIAGOFROES
  RENANMICHALAK,INACTIVE                            ,2024-03-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENANMICHALAK,ACTIVE                              ,2024-01-12-17.43.54.000000,,RAPHAELBARBOSA
  RENANMICHALAK,NEWREG                              ,2024-01-12-17.39.54.000000,,MAXADMIN
  RENANNBENTO,NEWREG                              ,2024-11-06-21.05.45.000000,,MAXADMIN
  RENANNBENTO,ACTIVE                              ,2024-11-06-21.07.02.000000,,LUIZFELIPE
  RENANNBENTO,INACTIVE                            ,2024-12-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENANRANGEL,ACTIVE                              ,2022-05-29-12.01.52.000000,,MAXADOOG
  RENANRANGEL,INACTIVE                            ,2025-05-23-11.20.48.000000,Ticket#2025052329000099 — RES: Privilégios no sistema Máximo,ITEAM
  RENANRANGEL,ACTIVE                              ,2023-11-20-10.31.44.000000,Ticket#0326155,HELPDESK
  RENANRANGEL,ACTIVE                              ,2022-02-21-10.29.33.000000,,ITEAM
  RENANRANGEL,INACTIVE                            ,2022-04-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENANRANGEL,INACTIVE                            ,2023-11-11-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATAANDRADE,ACTIVE                              ,2018-05-25-14.51.14.000000,,MAXADMIN
  RENATAANDRADE,BLOCKED                             ,2018-09-14-09.22.34.000000,,MAXADMIN
  RENATAANDRADE,INACTIVE                            ,2021-07-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATAANDRADE,ACTIVE                              ,2018-09-26-14.36.55.000000,,MAXADMIN
  RENATABARCELOS,ACTIVE                              ,2020-10-06-10.41.39.000000,,VANIASANTOS
  RENATABARCELOS,INACTIVE                            ,2021-02-08-10.58.10.000000,Ticket#0186400 — Emissão de Rescisão Contratual - RENATA DE ALMEIDA BARCELOS,ITEAM
  RENATAFERREIRA,NEWREG                              ,2026-02-07-19.34.55.752000,,ITEAM
  RENATAFERREIRA,INACTIVE                            ,2026-03-31-07.45.01.676000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATAFERREIRA,ACTIVE                              ,2026-02-07-19.36.07.395000,,RENATOSOARES
  RENATAPEREIRA,INACTIVE                            ,2023-06-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATAPEREIRA,ACTIVE                              ,2023-04-19-10.25.33.000000,,ITEAM
  RENATOASSIS,NEWREG                              ,2024-01-26-14.19.28.000000,,MAXADMIN
  RENATOASSIS,INACTIVE                            ,2024-03-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATOASSIS,ACTIVE                              ,2024-01-26-14.20.21.000000,,RAPHAELBARBOSA
  RENATODOSSANTOS,NEWREG                              ,2025-05-22-19.13.57.000000,,ITEAM
  RENATODOSSANTOS,INACTIVE                            ,2026-07-13-07.45.01.637000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATODOSSANTOS,ACTIVE                              ,2026-05-23-17.58.58.246000,,LUIZFELIPE
  RENATODOSSANTOS,INACTIVE                            ,2025-07-29-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATODOSSANTOS,ACTIVE                              ,2025-05-22-19.14.24.000000,,LUIZFELIPE
  RENATODUTRA,ACTIVE                              ,2024-02-21-14.27.28.000000,,ITEAM
  RENATODUTRA,ACTIVE                              ,2026-05-20-18.19.23.035000,Ticket#2026052029001752 — Reativar acesso MAXIMO,HELPDESK
  RENATODUTRA,INACTIVE                            ,2025-09-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATODUTRA,ACTIVE                              ,2025-07-19-06.34.45.000000,,HELPDESK
  RENATODUTRA,INACTIVE                            ,2024-04-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATOFERREIRA,ACTIVE                              ,2015-08-31-18.36.13.000000,,MAXADMIN
  RENATOFERREIRA,BLOCKED                             ,2021-03-22-16.47.31.000000,,MAXADMIN
  RENATOFERREIRA,ACTIVE                              ,2024-04-15-09.19.37.000000,,MAXADMIN
  RENATOFERREIRA,BLOCKED                             ,2024-04-15-09.18.49.000000,,MAXADMIN
  RENATOFERREIRA,ACTIVE                              ,2021-03-22-16.56.27.000000,,MAXADMIN
  RENATOFREIRE,ACTIVE                              ,2014-11-24-19.26.04.000000,,MAXADMIN
  RENATOFREIRE,INACTIVE                            ,2016-12-01-10.01.05.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  RENATOGRIBEIRO,NEWREG                              ,2026-05-07-16.05.01.618000,,MAXADMIN
  RENATOGRIBEIRO,INACTIVE                            ,2026-06-30-07.45.01.832000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATOGRIBEIRO,ACTIVE                              ,2026-05-07-16.05.43.544000,,RENATOSOARES
  RENATOJACQUES,ACTIVE                              ,2016-05-19-11.27.57.000000,,ENIOSANTOS
  RENATOJACQUES,INACTIVE                            ,2017-03-20-15.33.17.000000,Saneamento usuarios março/17,MAXADOOG
  RENATOMELLO,ACTIVE                              ,2023-03-03-10.58.38.000000,,ITEAM
  RENATOPIMENTEL,ACTIVE                              ,2016-05-10-11.16.53.000000,,JULINECAETANO
  RENATOSANTOSSILVA,NEWREG                              ,2026-01-08-15.04.38.566000,,ITEAM
  RENATOSANTOSSILVA,INACTIVE                            ,2026-04-19-07.45.02.177000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATOSANTOSSILVA,ACTIVE                              ,2026-01-08-15.05.59.877000,,LUIZFELIPE
  RENATOSOARES,INACTIVE                            ,2020-03-11-11.11.44.000000,usuario sem acesso ao sistema nos ultimos seis meses,MAXADOOG
  RENATOSOARES,ACTIVE                              ,2020-04-27-13.04.06.000000,,MAXADOOG
  RENATOSOARES,ACTIVE                              ,2022-03-09-16.13.11.000000,Ticket#0231307,ITEAM
  RENATOSOARES,INACTIVE                            ,2022-02-13-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATOSOARES,ACTIVE                              ,2020-03-04-10.32.39.000000,,JULINECAETANO
  RENATOVENANCIOO,ACTIVE                              ,2025-06-22-05.43.52.000000,,LUIZFELIPE
  RENATOVENANCIOO,INACTIVE                            ,2025-11-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RENATOVENANCIOO,NEWREG                              ,2025-06-22-05.43.15.000000,,ITEAM
  REVERSONMONTEIRO,NEWREG                              ,2023-12-16-15.56.17.000000,,MAXADMIN
  REVERSONMONTEIRO,ACTIVE                              ,2026-04-12-08.37.48.229000,2026041229000065,HELPDESK
  REVERSONMONTEIRO,INACTIVE                            ,2026-03-31-07.45.01.655000,Usuario inativo por mais de 50 dias,MAXADMIN
  REVERSONMONTEIRO,ACTIVE                              ,2025-04-13-08.09.33.000000,,RENATOSOARES
  REVERSONMONTEIRO,INACTIVE                            ,2025-04-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  REVERSONMONTEIRO,INACTIVE                            ,2024-06-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  REVERSONMONTEIRO,ACTIVE                              ,2024-09-03-16.36.36.000000,0372292,HELPDESK
  REVERSONMONTEIRO,ACTIVE                              ,2024-02-10-13.21.15.000000,,MAXADMIN
  REVERSONMONTEIRO,BLOCKED                             ,2024-02-10-13.17.03.000000,,MAXADMIN
  REVERSONMONTEIRO,ACTIVE                              ,2023-12-16-16.00.09.000000,,RAPHAELBARBOSA
  REVERSONPMONTEIRO,NEWREG                              ,2024-01-13-16.08.28.000000,,MAXREG
  REZENDEJULIO,NEWREG                              ,2025-02-23-19.59.06.000000,,MAXADMIN
  RFREITAS,NEWREG                              ,2026-03-10-14.40.33.872000,,MAXADMIN
  RFREITAS,INACTIVE                            ,2026-05-11-07.45.02.981000,Usuario inativo por mais de 50 dias,MAXADMIN
  RFREITAS,ACTIVE                              ,2026-03-10-14.41.04.629000,,RENATOSOARES
  RHALFGOMES,ACTIVE                              ,2024-09-18-20.33.42.000000,,RAPHAELBARBOSA
  RHALFGOMES,INACTIVE                            ,2024-11-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RHALFGOMES,NEWREG                              ,2024-09-18-20.27.22.000000,,MAXADMIN
  RHAYSSAMENDES,NEWREG                              ,2026-03-07-08.23.46.719000,,MAXADMIN
  RHAYSSAMENDES,INACTIVE                            ,2026-05-04-07.45.03.523000,Usuario inativo por mais de 50 dias,MAXADMIN
  RHAYSSAMENDES,ACTIVE                              ,2026-03-07-08.30.25.597000,,RENATOSOARES
  RHUANRIBEIRO,NEWREG                              ,2025-04-06-03.30.21.000000,,MAXADMIN
  RHUANRIBEIRO,INACTIVE                            ,2025-07-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RHUANRIBEIRO,ACTIVE                              ,2025-04-06-03.30.49.000000,,RENATOSOARES
  RHUDSONCOUTO,NEWREG                              ,2024-02-23-14.58.08.000000,,MAXADMIN
  RHUDSONCOUTO,INACTIVE                            ,2024-03-08-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RHUDSONCOUTO,ACTIVE                              ,2024-02-23-14.59.55.000000,,RAPHAELBARBOSA
  RIANALVES,NEWREG                              ,2025-03-21-17.56.02.000000,,MAXADMIN
  RIANALVES,INACTIVE                            ,2025-05-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RIANALVES,ACTIVE                              ,2025-03-21-17.56.37.000000,,LUIZFELIPE
  RICARDOALENCAR,NEWREG                              ,2026-01-15-19.51.58.105000,,ITEAM
  RICARDOALENCAR,INACTIVE                            ,2026-03-26-07.45.03.040000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOALENCAR,ACTIVE                              ,2026-01-15-19.52.44.216000,,RENATOSOARES
  RICARDOAUGUSTODASILVA,NEWREG                              ,2026-05-17-13.45.15.986000,,MAXADMIN
  RICARDOAUGUSTODASILVA,ACTIVE                              ,2026-05-17-13.49.56.840000,,LUIZFELIPE
  RICARDOBARROS,NEWREG                              ,2024-03-03-23.00.38.000000,,MAXADMIN
  RICARDOBARROS,INACTIVE                            ,2024-05-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBARROS,ACTIVE                              ,2024-03-03-23.01.24.000000,,LUIZFELIPE
  RICARDOBASTOS,ACTIVE                              ,2017-04-20-13.55.24.000000,,MAXADOOG
  RICARDOBASTOS,INACTIVE                            ,2021-07-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,INACTIVE                            ,2025-05-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,ACTIVE                              ,2025-05-21-10.24.16.000000,,MAXADOOG
  RICARDOBASTOS,INACTIVE                            ,2024-08-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,ACTIVE                              ,2024-07-02-08.59.01.000000,,MAXADOOG
  RICARDOBASTOS,INACTIVE                            ,2023-05-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,ACTIVE                              ,2023-03-01-13.36.34.000000,Ticket#0280181,HELPDESK
  RICARDOBASTOS,INACTIVE                            ,2023-08-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,ACTIVE                              ,2022-07-27-11.32.21.000000,Ticket#0249219 — RE: PMs IBOPs,ITEAM
  RICARDOBASTOS,INACTIVE                            ,2022-10-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,ACTIVE                              ,2022-07-26-09.25.48.000000,Ticket#0249348 — ENC: Planilhas para Carga no Software de Transporte Referentes ao Aditivo 2,ITEAM
  RICARDOBASTOS,ACTIVE                              ,2023-05-29-14.29.20.000000,,ITEAM
  RICARDOBASTOS,INACTIVE                            ,2022-07-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2023-10-26-14.50.33.000000,,ITEAM
  RICARDOCARVALHO,INACTIVE                            ,2026-04-11-07.45.01.431000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOCARVALHO,BLOCKED                             ,2025-09-30-18.26.43.000000,,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2025-08-29-18.36.47.000000,,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2025-08-29-19.26.35.000000,2025082929001018,HELPDESK
  RICARDOCARVALHO,BLOCKED                             ,2025-08-29-19.21.03.000000,,MAXADMIN
  RICARDOCARVALHO,BLOCKED                             ,2025-08-29-18.33.55.000000,,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2025-09-30-18.29.03.000000,Ticket#2025093029001022,HELPDESK
  RICARDOCARVALHO,BLOCKED                             ,2025-03-24-16.02.04.000000,,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2025-03-24-16.10.07.000000,,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2025-03-15-16.20.05.000000,,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2025-03-15-09.17.44.000000,2025031529000091,HELPDESK
  RICARDOCARVALHO,INACTIVE                            ,2025-01-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOCARVALHO,BLOCKED                             ,2025-03-15-16.12.19.000000,,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2024-10-29-06.35.58.000000,,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2024-10-03-13.14.42.000000,Ticket#0374898 — RES: PDO - Trainees Técnicos – Mecânica - Acesso máximo ( EAM_ ),ITEAM
  RICARDOCARVALHO,ACTIVE                              ,2024-11-05-13.49.33.000000,,MAXADMIN
  RICARDOCARVALHO,BLOCKED                             ,2024-11-05-13.45.54.000000,,MAXADMIN
  RICARDOCARVALHO,BLOCKED                             ,2024-10-29-06.27.41.000000,,MAXADMIN
  RICARDOCARVALHO,INACTIVE                            ,2024-04-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOCARVALHO,INACTIVE                            ,2024-01-21-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOCARVALHO,ACTIVE                              ,2024-01-29-10.21.18.000000,0338086,HELPDESK
  RICARDOFARIAS,NEWREG                              ,2025-07-19-20.17.29.000000,,ITEAM
  RICARDOFARIAS,INACTIVE                            ,2025-09-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOFARIAS,ACTIVE                              ,2025-07-19-20.18.02.000000,,LUIZFELIPE
  RICARDOFILHO,NEWREG                              ,2024-02-27-19.10.46.000000,,MAXADMIN
  RICARDOFILHO,INACTIVE                            ,2024-04-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOFILHO,ACTIVE                              ,2024-02-27-19.11.32.000000,,LUIZFELIPE
  RICARDOMARANGON,ACTIVE                              ,2016-06-06-14.41.20.000000,,JULINECAETANO
  RICARDOMARANGON,INACTIVE                            ,2018-01-16-14.00.57.000000,Integrante desligado em 16/01/18,MAXADOOG
  RICARDOPESSANHA,ACTIVE                              ,2014-10-01-17.58.02.000000,,MAXADMIN
  RICARDOPESSANHA,INACTIVE                            ,2019-06-13-16.34.26.000000,Ticket#084575 — Desligamento - RICARDO CODECO PESSANHA,THIAGOFROES
  RICARDORIBEIRO,NEWREG                              ,2026-06-01-06.15.30.243000,,MAXADMIN
  RICARDORIBEIRO,INACTIVE                            ,2026-06-15-01.00.03.090000,Automatic Inativate expired user access,MAXADMIN
  RICARDORIBEIRO,ACTIVE                              ,2026-06-01-06.15.57.513000,,RENATOSOARES
  RICARDOSALAS,ACTIVE                              ,2024-04-23-20.13.48.000000,,RAPHAELBARBOSA
  RICARDOSALAS,INACTIVE                            ,2024-06-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOSALAS,NEWREG                              ,2024-04-23-20.08.33.000000,,MAXADMIN
  RICARDOTRANCOSO,NEWREG                              ,2024-01-09-00.09.43.000000,,MAXADMIN
  RICARDOTRANCOSO,INACTIVE                            ,2024-03-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOTRANCOSO,ACTIVE                              ,2024-01-25-17.26.15.000000,,MAXADMIN
  RICARDOTRANCOSO,BLOCKED                             ,2024-01-25-17.22.45.000000,,MAXADMIN
  RICARDOTRANCOSO,ACTIVE                              ,2024-01-09-13.46.12.000000,,ITEAM
  RICARDOVIEIRA,INACTIVE                            ,2024-09-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOVIEIRA,ACTIVE                              ,2024-10-30-13.25.55.000000,0377035,HELPDESK
  RICARDOVIEIRA,INACTIVE                            ,2024-12-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOVIEIRA,ACTIVE                              ,2024-08-02-09.11.38.000000,,ITEAM
  RIMAS,ACTIVE                              ,2013-12-06-15.01.53.000000,,MAXADMIN
  RIMAS,INACTIVE                            ,2017-08-10-09.20.20.000000,SR133734,PAULOPARREIRA
  RJONYS,NEWREG                              ,2024-06-09-20.57.18.000000,,MAXADMIN
  RLDF,NEWREG                              ,2026-02-25-07.49.02.957000,,MAXADMIN
  RMOTA,NEWREG                              ,2026-05-24-19.42.12.908000,,MAXADMIN
  RMOTA,ACTIVE                              ,2026-05-24-19.43.06.488000,,LUIZFELIPE
  ROBERTAAP,ACTIVE                              ,2018-01-26-08.41.15.000000,,JULINECAETANO
  ROBERTAAP,INACTIVE                            ,2018-11-07-13.26.41.000000,Inativado a pedido do Isaac;,MAXADOOG
  ROBERTAROMAES,ACTIVE                              ,2019-03-22-16.30.10.000000,,JULINECAETANO
  ROBERTAROMAES,INACTIVE                            ,2026-06-12-07.45.03.104000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTAROMAES,ACTIVE                              ,2026-04-06-11.00.29.537000,,MAXADOOG
  ROBERTAROMAES,INACTIVE                            ,2022-11-02-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTATOSTES,INACTIVE                            ,2020-03-11-11.11.44.000000,usuario sem acesso ao sistema nos ultimos seis meses,MAXADOOG
  ROBERTATOSTES,ACTIVE                              ,2018-08-21-14.16.11.000000,,MAXADMIN
  ROBERTATOSTES,ACTIVE                              ,2025-01-14-17.58.14.000000,,ITEAM
  ROBERTATOSTES,INACTIVE                            ,2025-01-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTMATECKI,ACTIVE                              ,2017-04-18-16.31.56.000000,,JULINECAETANO
  ROBERTMATECKI,INACTIVE                            ,2018-09-03-09.41.26.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  ROBERTMENDONCA,ACTIVE                              ,2024-11-22-19.41.05.000000,,RENATOSOARES
  ROBERTMENDONCA,INACTIVE                            ,2025-05-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTMENDONCA,ACTIVE                              ,2025-03-18-12.50.35.000000,,RENATOSOARES
  ROBERTMENDONCA,INACTIVE                            ,2025-02-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTMENDONCA,NEWREG                              ,2024-11-22-19.40.34.000000,,MAXADMIN
  ROBERTOFLEMING,NEWREG                              ,2024-01-12-14.23.13.000000,,MAXADMIN
  ROBERTOFLEMING,INACTIVE                            ,2024-03-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOFLEMING,ACTIVE                              ,2024-01-12-14.23.58.000000,,RAPHAELBARBOSA
  ROBERTOFURTADO,ACTIVE                              ,2026-03-23-15.12.54.131000,,ITEAM
  ROBERTOFURTADO,ACTIVE                              ,2026-04-13-13.13.23.958000,,MAXADMIN
  ROBERTOFURTADO,BLOCKED                             ,2026-04-13-13.12.31.256000,,MAXADMIN
  ROBERTOFURTADO,ACTIVE                              ,2026-04-11-07.23.22.694000,,MAXADMIN
  ROBERTOFURTADO,BLOCKED                             ,2026-04-11-07.21.39.420000,,MAXADMIN
  ROBERTOMARINHO,ACTIVE                              ,2025-06-09-19.32.19.000000,,RENATOSOARES
  ROBERTOMARINHO,INACTIVE                            ,2026-03-26-07.45.02.162000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOMARINHO,ACTIVE                              ,2026-01-04-15.58.57.053000,,HELPDESK
  ROBERTOMARINHO,INACTIVE                            ,2025-09-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOMARINHO,INACTIVE                            ,2025-11-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOMARINHO,ACTIVE                              ,2025-11-13-19.45.11.000000,2025111329001069,HELPDESK
  ROBERTOMARINHO,NEWREG                              ,2025-06-09-19.29.24.000000,,ITEAM
  ROBERTONEVES,NEWREG                              ,2025-09-23-19.43.57.000000,,ITEAM
  ROBERTONEVES,INACTIVE                            ,2026-05-09-07.45.03.506000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTONEVES,ACTIVE                              ,2026-03-19-10.12.05.281000,,RENATOSOARES
  ROBERTONEVES,INACTIVE                            ,2025-11-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTONEVES,ACTIVE                              ,2025-09-23-19.45.48.000000,,RENATOSOARES
  ROBERTOSOBREIRA,ACTIVE                              ,2020-04-29-07.39.46.000000,,MAXADOOG
  ROBERTOVELANDI,ACTIVE                              ,2024-07-09-20.10.19.000000,,RAPHAELBARBOSA
  ROBERTOVELANDI,INACTIVE                            ,2024-09-09-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ROBERTOVELANDI,NEWREG                              ,2024-07-09-20.07.03.000000,,MAXADMIN
  ROBSONCARVALHO,NEWREG                              ,2024-04-27-19.35.57.000000,,MAXADMIN
  ROBSONCARVALHO,ACTIVE                              ,2025-02-22-19.47.17.000000,,LUIZFELIPE
  ROBSONCARVALHO,NEWREG                              ,2025-02-22-19.34.18.000000,,MAXADMIN
  ROBSONCARVALHO,INACTIVE                            ,2025-04-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONCARVALHO,INACTIVE                            ,2024-06-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONCARVALHO,ACTIVE                              ,2024-04-27-19.36.28.000000,,RAPHAELBARBOSA
  ROBSONCASSIANO,NEWREG                              ,2025-03-09-10.49.31.000000,,MAXADMIN
  ROBSONCASSIANO,INACTIVE                            ,2025-05-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONCASSIANO,ACTIVE                              ,2025-03-09-10.50.10.000000,,RENATOSOARES
  ROBSONCEZAR,NEWREG                              ,2026-01-15-19.38.41.004000,,ITEAM
  ROBSONCEZAR,INACTIVE                            ,2026-06-07-07.45.02.761000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONCEZAR,ACTIVE                              ,2026-01-15-19.41.29.609000,,RENATOSOARES
  ROBSONCUNHA,ACTIVE                              ,2025-01-06-06.41.14.000000,,LUIZFELIPE
  ROBSONCUNHA,NEWREG                              ,2025-01-06-06.37.01.000000,,MAXADMIN
  ROBSONCUNHA,INACTIVE                            ,2025-01-19-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ROBSONDASILVA,INACTIVE                            ,2025-03-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONDASILVA,ACTIVE                              ,2025-01-16-19.33.18.000000,,RENATOSOARES
  ROBSONDASILVA,NEWREG                              ,2025-01-16-19.32.52.000000,,MAXADMIN
  ROBSONDEOLIVEIRA,NEWREG                              ,2024-03-28-20.07.46.000000,,MAXADMIN
  ROBSONDEOLIVEIRA,ACTIVE                              ,2024-03-28-20.09.57.000000,,LUIZFELIPE
  ROBSONDEOLIVEIRA,INACTIVE                            ,2024-05-31-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONDIAS,ACTIVE                              ,2018-09-12-15.33.48.000000,,JULINECAETANO
  ROBSONDIAS,BLOCKED                             ,2021-07-18-13.25.44.000000,,MAXADMIN
  ROBSONDIAS,ACTIVE                              ,2025-11-25-15.47.38.000000,2025112529000887,HELPDESK
  ROBSONDIAS,INACTIVE                            ,2025-06-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONDIAS,ACTIVE                              ,2022-02-03-09.11.18.000000,Ticket#0227889,ITEAM
  ROBSONDIAS,INACTIVE                            ,2022-02-02-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONDIAS,ACTIVE                              ,2022-02-23-19.16.01.000000,,MAXADMIN
  ROBSONDIAS,BLOCKED                             ,2022-02-23-19.09.11.000000,,MAXADMIN
  ROBSONDIAS,ACTIVE                              ,2021-07-18-13.35.03.000000,,MAXADMIN
  ROBSONF,NEWREG                              ,2024-11-26-15.51.28.000000,,MAXADMIN
