IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AAMEDEIROS,NEWREG                              ,2024-06-10-09.34.18.000000,,MAXADMIN
  RENATOSANTOS,ACTIVE                              ,2024-10-11-16.50.32.000000,,SINVALJUNIOR
  RENATOSANTOS,INACTIVE                            ,2024-10-23-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RENATOSANTOS,NEWREG                              ,2024-10-11-16.49.22.000000,,MAXADMIN
  RFERNANDES,ACTIVE                              ,2024-10-28-11.58.14.000000,,FELIPEPAIXAO
  RFERNANDES,INACTIVE                            ,2024-12-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RFERNANDES,NEWREG                              ,2024-10-28-11.57.31.000000,,MAXADMIN
  RFMARTINS,NEWREG                              ,2025-02-22-15.58.42.000000,,MAXADMIN
  RHAYANSANTOS,NEWREG                              ,2025-10-24-16.17.24.000000,,ITEAM
  RHAYANSANTOS,ACTIVE                              ,2025-10-24-16.19.08.000000,,FELIPEPAIXAO
  RHODOLFFO,BLOCKED                             ,2024-06-23-06.10.06.000000,,MAXADMIN
  RHODOLFFO,INACTIVE                            ,2024-08-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RHODOLFFO,NEWREG                              ,2024-06-23-06.02.46.000000,,MAXADMIN
  RHODOLFFO,ACTIVE                              ,2024-06-23-06.06.42.000000,,SINVALJUNIOR
  RHODOLFFO,ACTIVE                              ,2024-06-23-06.14.25.000000,,MAXADMIN
  RHODOLFFOCOSME,NEWREG                              ,2024-05-29-14.03.15.000000,,MAXADMIN
  RHODOLFFOCOSME,ACTIVE                              ,2024-05-29-14.04.04.000000,,SINVALJUNIOR
  RHODOLFFOCOSME,INACTIVE                            ,2024-06-11-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RHUANBORBA,ACTIVE                              ,2024-09-16-15.39.34.000000,,SINVALJUNIOR
  RHUANBORBA,INACTIVE                            ,2024-11-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RHUANBORBA,NEWREG                              ,2024-09-16-15.39.05.000000,,MAXADMIN
  RHUANGAMA,NEWREG                              ,2024-11-25-01.38.48.000000,,MAXADMIN
  RHUANGAMA,INACTIVE                            ,2024-12-05-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RHUANGAMA,ACTIVE                              ,2024-11-25-09.46.06.000000,,FELIPEPAIXAO
  RHUANMARQUES,ACTIVE                              ,2025-05-26-09.34.00.000000,,SINVALJUNIOR
  RHUANMARQUES,INACTIVE                            ,2025-07-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RHUANMARQUES,NEWREG                              ,2025-05-26-09.33.33.000000,,ITEAM
  RIANALVES,ACTIVE                              ,2024-05-11-13.26.48.000000,,FELIPEPAIXAO
  RIANALVES,NEWREG                              ,2024-05-11-13.26.22.000000,,MAXADMIN
  RIANALVES,INACTIVE                            ,2024-05-12-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RIANALVESS,NEWREG                              ,2024-05-12-14.37.42.000000,,MAXADMIN
  RIANALVESS,INACTIVE                            ,2024-07-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RIANALVESS,ACTIVE                              ,2024-05-12-14.38.51.000000,,FELIPEPAIXAO
  RIANOLIVEIRA,NEWREG                              ,2024-05-10-19.51.57.000000,,MAXADMIN
  RIANOLIVEIRA,ACTIVE                              ,2024-05-10-20.33.59.000000,,FELIPEPAIXAO
  RIANOLIVEIRA,INACTIVE                            ,2024-07-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RIBEIRONICOLAS,NEWREG                              ,2025-07-13-06.42.13.000000,,ITEAM
  RIBEIRONICOLAS,ACTIVE                              ,2025-07-13-06.42.29.000000,,SINVALJUNIOR
  RICARDOAASILVA,INACTIVE                            ,2025-05-18-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RICARDOAASILVA,ACTIVE                              ,2025-04-21-13.58.27.000000,,SINVALJUNIOR
  RICARDOAASILVA,NEWREG                              ,2025-04-21-13.57.50.000000,,MAXADMIN
  RICARDOAMOEDO,ACTIVE                              ,2014-03-26-11.34.08.000000,,MAXADMIN
  RICARDOAMOEDO,INACTIVE                            ,2015-08-03-09.55.00.000000,,MAXADMIN
  RICARDOAMOEDO,ACTIVE                              ,2019-04-29-12.19.59.000000,Ticket#079726 — Enable MAXIMO USER: RICARDOAMOEDO as OIM for the ODN2,THIAGOFROES
  RICARDOBASTOS,ACTIVE                              ,2017-04-19-17.51.35.000000,,MAXADOOG
  RICARDOBASTOS,INACTIVE                            ,2021-07-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,INACTIVE                            ,2024-08-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,ACTIVE                              ,2024-07-02-08.57.14.000000,,MAXADOOG
  RICARDOBASTOS,ACTIVE                              ,2022-07-27-11.28.57.000000,Ticket#0249219 — RE: PMs IBOPs,ITEAM
  RICARDOBASTOS,ACTIVE                              ,2022-07-26-09.26.01.000000,Ticket#0249348 — ENC: Planilhas para Carga no Software de Transporte Referentes ao Aditivo 2,ITEAM
  RICARDOBASTOS,INACTIVE                            ,2023-08-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,INACTIVE                            ,2022-07-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,INACTIVE                            ,2022-09-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOBASTOS,ACTIVE                              ,2023-03-01-13.42.22.000000,Ticket#0280181,HELPDESK
  RICARDOCASTRO,INACTIVE                            ,2019-07-05-09.32.02.000000,Ticket#086640,JULINECAETANO
  RICARDOCASTRO,ACTIVE                              ,2019-06-25-15.45.10.000000,,THIAGOFROES
  RICARDOCASTRO,INACTIVE                            ,2022-08-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOCASTRO,ACTIVE                              ,2019-11-16-10.10.32.000000,Ticket#0104519,MAXADOOG
  RICARDOCRESPO,ACTIVE                              ,2014-03-25-17.29.31.000000,,MAXADMIN
  RICARDOCRESPO,INACTIVE                            ,2021-02-26-08.45.15.000000,Usuarios sem acessar o sistema,MAXADOOG
  RICARDODECASTRO,ACTIVE                              ,2025-05-30-09.33.04.000000,,FELIPEPAIXAO
  RICARDODECASTRO,INACTIVE                            ,2025-07-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDODECASTRO,NEWREG                              ,2025-05-30-09.31.42.000000,,ITEAM
  RICARDOMARTINS,ACTIVE                              ,2025-06-04-14.50.35.000000,,FELIPEPAIXAO
  RICARDOMARTINS,INACTIVE                            ,2025-07-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOMARTINS,NEWREG                              ,2025-06-04-14.46.35.000000,,ITEAM
  RICARDOPRIOLI,ACTIVE                              ,2016-11-08-11.41.44.000000,,JULINECAETANO
  RICARDOPRIOLI,INACTIVE                            ,2022-05-02-13.28.17.000000,Ticket#0237056 — Emissão de Rescisão Contratual -,ITEAM
  RICARDOPRIORI,INACTIVE                            ,2016-11-08-11.50.32.000000,SR106714,JULINECAETANO
  RICARDOPRIORI,ACTIVE                              ,2016-11-07-16.38.52.000000,,JULINECAETANO
  RICARDORMARTINS,NEWREG                              ,2025-05-04-09.34.29.000000,,ITEAM
  RICARDORMARTINS,INACTIVE                            ,2025-07-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDORMARTINS,ACTIVE                              ,2025-05-04-09.43.05.000000,,FELIPEPAIXAO
  RICARDOVIEIRA,ACTIVE                              ,2024-08-02-09.23.29.000000,,ITEAM
  RICARDOVIEIRA,INACTIVE                            ,2024-09-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOZANGIROLAMI,ACTIVE                              ,2024-07-30-08.44.17.000000,,FELIPEPAIXAO
  RICARDOZANGIROLAMI,INACTIVE                            ,2024-10-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICARDOZANGIROLAMI,NEWREG                              ,2024-07-30-08.43.47.000000,,MAXADMIN
  RICHARDSARAIVA,NEWREG                              ,2025-11-23-10.26.08.000000,,ITEAM
  RICHARDSARAIVA,INACTIVE                            ,2026-03-26-07.45.00.621000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICHARDSARAIVA,ACTIVE                              ,2025-11-23-10.30.35.000000,,FELIPEPAIXAO
  RICHTEDRALMEIDA,ACTIVE                              ,2025-09-29-00.57.17.000000,,FELIPEPAIXAO
  RICHTEDRALMEIDA,NEWREG                              ,2025-09-29-00.56.39.000000,,ITEAM
  RICHTEDRALMEIDA,INACTIVE                            ,2025-11-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICHTERALMEIDA,NEWREG                              ,2025-09-14-18.26.50.000000,,ITEAM
  RICHTERALMEIDA,ACTIVE                              ,2026-06-19-20.15.56.528000,Ticket#2026061929001306,HELPDESK
  RICHTERALMEIDA,ACTIVE                              ,2025-09-14-18.27.57.000000,,SINVALJUNIOR
  RICHTERALMEIDA,ACTIVE                              ,2025-09-17-16.27.20.000000,,MAXADMIN
  RICHTERALMEIDA,INACTIVE                            ,2025-11-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICHTERALMEIDA,BLOCKED                             ,2025-09-17-16.24.46.000000,,MAXADMIN
  RICKISOMMARTINS,NEWREG                              ,2025-05-25-07.51.01.000000,,ITEAM
  RICKISOMMARTINS,INACTIVE                            ,2025-07-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RICKISOMMARTINS,ACTIVE                              ,2025-05-25-07.51.53.000000,,SINVALJUNIOR
  RIDILEIHOVERNEI,ACTIVE                              ,2023-04-04-18.49.31.000000,,ITEAM
  RIDILEIHOVERNEI,ACTIVE                              ,2024-07-04-09.13.10.000000,Ticket#0364177 — ACESSO AO MÁXIMO.,ITEAM
  RIDILEIHOVERNEI,INACTIVE                            ,2024-05-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RIMAS,ACTIVE                              ,2017-08-10-09.19.54.000000,,PAULOPARREIRA
  RIMAS,INACTIVE                            ,2018-09-03-09.47.07.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  RMOURA,NEWREG                              ,2026-06-23-19.40.25.467000,,MAXADMIN
  RMOURA,ACTIVE                              ,2026-06-23-19.41.23.827000,,SINVALJUNIOR
  ROBERTAAP,ACTIVE                              ,2018-01-26-08.42.07.000000,,JULINECAETANO
  ROBERTAAP,INACTIVE                            ,2018-11-07-13.26.21.000000,Inativado a pedido do Isaac;,MAXADOOG
  ROBERTAROMAES,INACTIVE                            ,2024-01-06-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTAROMAES,INACTIVE                            ,2025-05-06-19.58.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTAROMAES,ACTIVE                              ,2025-02-19-21.02.36.000000,,MAXADOOG
  ROBERTAROMAES,ACTIVE                              ,2022-09-09-15.43.41.000000,,ITEAM
  ROBERTAROMAES,INACTIVE                            ,2022-11-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTAROMAES,ACTIVE                              ,2024-01-05-13.37.57.000000,,ITEAM
  ROBERTATOSTES,INACTIVE                            ,2019-09-27-17.32.20.000000,,MAXADOOG
  ROBERTATOSTES,ACTIVE                              ,2025-01-14-18.02.42.000000,,ITEAM
  ROBERTATOSTES,INACTIVE                            ,2025-01-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTATOSTES,ACTIVE                              ,2018-08-21-14.19.04.000000,,MAXADMIN
  ROBERTATOSTES,BLOCKED                             ,2020-02-17-10.40.04.000000,,MAXADMIN
  ROBERTATOSTES,ACTIVE                              ,2020-02-17-10.41.00.000000,,MAXADMIN
  ROBERTATOSTES,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  ROBERTATOSTES,ACTIVE                              ,2019-10-18-14.15.58.000000,Ticket#0101336 — Acesso ao Maximo ODN IITicket,MAXADOOG
  ROBERTLOS,ACTIVE                              ,2014-03-30-12.19.17.000000,,MAXADMIN
  ROBERTLOS,INACTIVE                            ,2019-09-27-17.32.03.000000,Saneamento sonda,MAXADOOG
  ROBERTOCARLOS,NEWREG                              ,2024-07-02-06.36.21.000000,,MAXADMIN
  ROBERTOCARLOS,INACTIVE                            ,2024-08-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOCARLOS,ACTIVE                              ,2024-07-02-06.37.08.000000,,FELIPEPAIXAO
  ROBERTOGOMES,ACTIVE                              ,2024-01-04-15.55.27.000000,,SINVALJUNIOR
  ROBERTOGOMES,INACTIVE                            ,2024-03-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOGOMES,NEWREG                              ,2024-01-04-15.53.57.000000,,MAXADMIN
  ROBERTOISAQUE,INACTIVE                            ,2025-09-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOISAQUE,ACTIVE                              ,2025-06-30-06.37.31.000000,,FELIPEPAIXAO
  ROBERTOISAQUE,NEWREG                              ,2025-06-30-06.36.26.000000,,ITEAM
  ROBERTOLAURENTINO,ACTIVE                              ,2024-01-09-14.06.07.000000,,MAXADOOG
  ROBERTOLAURENTINO,INACTIVE                            ,2024-04-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOLOPES,NEWREG                              ,2024-09-22-16.43.45.000000,,MAXADMIN
  ROBERTOLOPES,INACTIVE                            ,2024-11-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOLOPES,ACTIVE                              ,2024-09-22-16.51.39.000000,,FELIPEPAIXAO
  ROBERTONETO,ACTIVE                              ,2022-09-05-13.20.08.000000,,ITEAM
  ROBERTONETO,ACTIVE                              ,2023-10-06-09.36.20.000000,,HELPDESK
  ROBERTONETO,INACTIVE                            ,2023-07-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTORODRIGUES,NEWREG                              ,2024-11-24-08.20.01.000000,,MAXADMIN
  ROBERTORODRIGUES,INACTIVE                            ,2025-01-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTORODRIGUES,ACTIVE                              ,2024-11-24-08.20.59.000000,,FELIPEPAIXAO
  ROBERTOSRAMOS,NEWREG                              ,2025-05-03-11.17.12.000000,,ITEAM
  ROBERTOSRAMOS,INACTIVE                            ,2025-07-12-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ROBERTOSRAMOS,ACTIVE                              ,2025-05-03-13.34.37.000000,,FELIPEPAIXAO
  ROBERTRIBEIRO,ACTIVE                              ,2023-07-28-14.08.05.000000,,ITEAM
  ROBERTRIBEIRO,ACTIVE                              ,2024-12-09-11.30.13.000000,,MAXADMIN
  ROBERTRIBEIRO,BLOCKED                             ,2024-12-09-11.28.10.000000,,MAXADMIN
  ROBERTRIBEIRO,ACTIVE                              ,2024-11-12-13.17.53.000000,,MAXADMIN
  ROBERTRIBEIRO,BLOCKED                             ,2024-11-12-13.10.28.000000,,MAXADMIN
  ROBERTRIBEIRO,BLOCKED                             ,2024-11-10-06.13.54.000000,,MAXADMIN
  ROBERTRIBEIRO,ACTIVE                              ,2024-11-10-06.17.49.000000,,MAXADMIN
  ROBERTRIBEIRO,ACTIVE                              ,2024-03-20-18.13.09.000000,,MAXADMIN
  ROBERTRIBEIRO,BLOCKED                             ,2024-03-20-18.11.06.000000,,MAXADMIN
  ROBERTRIBEIRO,ACTIVE                              ,2023-09-02-19.13.04.000000,,MAXADMIN
  ROBERTRIBEIRO,BLOCKED                             ,2023-09-02-19.08.17.000000,,MAXADMIN
  ROBERTTHOMSON,ACTIVE                              ,2018-01-02-17.50.05.000000,,MAXADOOG
  ROBERTTHOMSON,INACTIVE                            ,2018-07-23-07.51.30.000000,Ticket#013492 — Rescisão Contratual - 16/07/18,JULINECAETANO
  ROBERTWLADYSLAW,ACTIVE                              ,2014-03-26-11.48.07.000000,,MAXADMIN
  ROBERTWLADYSLAW,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ROBINHOOLIVEIRA,NEWREG                              ,2024-07-05-15.26.07.000000,,MAXADMIN
  ROBSONCASSIANO,NEWREG                              ,2025-02-03-13.48.54.000000,,MAXADMIN
  ROBSONCASSIANO,INACTIVE                            ,2025-03-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONCASSIANO,ACTIVE                              ,2025-02-03-13.49.24.000000,,SINVALJUNIOR
  ROBSONDEOLIVEIRA,NEWREG                              ,2024-07-05-15.26.29.000000,,MAXADMIN
  ROBSONDOS,NEWREG                              ,2025-02-08-20.36.49.000000,,MAXADMIN
  ROBSONF,NEWREG                              ,2024-07-04-16.07.38.000000,,MAXADMIN
  ROBSONF,ACTIVE                              ,2024-07-04-16.21.03.000000,,FELIPEPAIXAO
  ROBSONF,INACTIVE                            ,2024-07-05-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ROBSONG,INACTIVE                            ,2025-06-10-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ROBSONG,NEWREG                              ,2025-05-18-19.59.00.000000,,ITEAM
  ROBSONG,ACTIVE                              ,2025-05-18-20.29.19.000000,,FELIPEPAIXAO
  ROBSONMARQUESGONALVES,NEWREG                              ,2024-12-28-08.02.07.000000,,MAXADMIN
  ROBSONMARQUESGONALVES,ACTIVE                              ,2024-12-28-08.03.13.000000,,SINVALJUNIOR
  ROBSONMARQUESGONALVES,INACTIVE                            ,2025-02-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONMONTEIRO,NEWREG                              ,2024-10-17-07.13.39.000000,,MAXADMIN
  ROBSONMONTEIRO,INACTIVE                            ,2024-12-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONMONTEIRO,ACTIVE                              ,2024-10-17-07.15.13.000000,,SINVALJUNIOR
  ROBSONOLIVEIRA,INACTIVE                            ,2017-03-20-15.37.45.000000,Saneamento usuários março/17,MAXADOOG
  ROBSONOLIVEIRA,ACTIVE                              ,2016-10-19-09.58.20.000000,,JULINECAETANO
  ROBSONROCHA,ACTIVE                              ,2014-03-25-17.40.50.000000,,MAXADMIN
  ROBSONROCHA,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ROBSONSANTOS,NEWREG                              ,2025-02-08-20.52.05.000000,,MAXADMIN
  ROBSONSANTOS,INACTIVE                            ,2025-05-06-19.58.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONSANTOS,ACTIVE                              ,2025-02-10-10.54.14.000000,,ITEAM
  ROBSONSANTOSVITURINO,NEWREG                              ,2025-02-08-20.52.53.000000,,MAXADMIN
  ROBSONSILVACADIMO,NEWREG                              ,2024-05-18-19.10.20.000000,,MAXADMIN
  ROBSONVITURINO,NEWREG                              ,2025-02-08-20.40.13.000000,,MAXADMIN
  ROCHAJOAO,ACTIVE                              ,2024-02-24-15.57.54.000000,,SINVALJUNIOR
  ROCHAJOAO,NEWREG                              ,2025-04-21-14.11.10.000000,,MAXADMIN
  ROCHAJOAO,NEWREG                              ,2024-02-24-14.41.17.000000,,MAXADMIN
  ROCHAJOAO,INACTIVE                            ,2024-03-04-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ROCHAREBECA,NEWREG                              ,2026-07-07-17.32.59.919000,,MAXADMIN
  ROCHAREBECA,ACTIVE                              ,2026-07-11-08.03.02.586000,,MAXADMIN
  ROCHAREBECA,BLOCKED                             ,2026-07-11-08.02.28.156000,,MAXADMIN
  ROCHAREBECA,ACTIVE                              ,2026-07-07-17.35.16.856000,,FELIPEPAIXAO
  ROCHAYURI,INACTIVE                            ,2024-04-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROCHAYURI,NEWREG                              ,2024-02-14-18.05.53.000000,,MAXADMIN
  ROCHAYURI,ACTIVE                              ,2024-02-14-18.06.22.000000,,FELIPEPAIXAO
  RODOLFOMANHAES,ACTIVE                              ,2023-12-04-10.09.19.000000,,MAXADOOG
  RODOLFOMANHAES,INACTIVE                            ,2023-12-10-13.52.52.000000,Automatic Inativate expired user access,MAXADMIN
  RODOLFOMANHAES,NEWREG                              ,2023-11-29-06.32.00.000000,,MAXADMIN
  RODOLFOMSANTOS,NEWREG                              ,2024-09-10-06.45.54.000000,,MAXADMIN
  RODOLFOMSANTOS,INACTIVE                            ,2025-04-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOMSANTOS,ACTIVE                              ,2024-09-10-06.47.03.000000,,SINVALJUNIOR
  RODOLFOREAL,NEWREG                              ,2025-04-20-08.05.42.000000,,MAXADMIN
  RODOLFOREAL,INACTIVE                            ,2025-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOREAL,ACTIVE                              ,2025-04-20-08.20.19.000000,,SINVALJUNIOR
  RODOLFOSANTOS,NEWREG                              ,2023-11-29-10.25.39.000000,,MAXREG
  RODOLFOSANTOSS,ACTIVE                              ,2024-05-09-07.07.29.000000,,FELIPEPAIXAO
  RODOLFOSANTOSS,INACTIVE                            ,2024-08-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOSANTOSS,NEWREG                              ,2024-05-09-07.07.00.000000,,MAXADMIN
  RODOLFOSARRES,NEWREG                              ,2024-09-07-00.57.38.000000,,MAXADMIN
  RODOLFOSARRES,INACTIVE                            ,2024-09-30-01.00.03.000000,Automatic Inativate expired user access,MAXADMIN
  RODOLFOSARRES,ACTIVE                              ,2024-09-07-00.58.15.000000,,SINVALJUNIOR
  RODOLPHOJORGE,NEWREG                              ,2024-05-27-17.21.51.000000,,MAXADMIN
  RODOLPHOJORGE,INACTIVE                            ,2024-07-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLPHOJORGE,ACTIVE                              ,2024-05-27-17.22.26.000000,,SINVALJUNIOR
  RODOLPHOJORGE01,NEWREG                              ,2024-05-27-17.08.59.000000,,MAXREG
  RODRIGO,INACTIVE                            ,2024-04-20-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RODRIGO,ACTIVE                              ,2024-03-27-07.22.42.000000,,SINVALJUNIOR
  RODRIGO,NEWREG                              ,2024-03-27-07.20.24.000000,,MAXADMIN
  RODRIGO CESAR DE NORONHA,NEWREG                              ,2023-11-11-00.49.24.000000,,MAXREG
  RODRIGOACARDOSO,ACTIVE                              ,2018-04-20-10.28.02.000000,,MAXADMIN
  RODRIGOACARDOSO,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  RODRIGOANSELMO,ACTIVE                              ,2021-03-04-11.52.59.000000,,ITEAM
  RODRIGOANSELMO,INACTIVE                            ,2022-08-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOANSELMO,ACTIVE                              ,2022-03-10-11.06.02.000000,Ticket#0231389 — Sistema Máximo,ITEAM
  RODRIGOANSELMO,INACTIVE                            ,2022-02-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOANSELMO,ACTIVE                              ,2021-12-17-09.01.13.000000,Ticket#0222761 — Senha Maximo,ITEAM
  RODRIGOANSELMO,INACTIVE                            ,2021-07-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBAPTISTA,ACTIVE                              ,2025-05-08-12.19.25.000000,,ITEAM
  RODRIGOBAPTISTA,INACTIVE                            ,2025-06-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBARROCO,ACTIVE                              ,2025-05-03-07.39.01.000000,,FELIPEPAIXAO
  RODRIGOBARROCO,INACTIVE                            ,2025-06-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBARROCO,NEWREG                              ,2025-05-03-07.37.21.000000,,ITEAM
  RODRIGOBERTI,ACTIVE                              ,2022-06-03-13.12.27.000000,Ticket#0241788 — Maximo user RODRIGOBERTI from N09 to ODN2,ITEAM
  RODRIGOBERTI,BLOCKED                             ,2022-06-04-09.11.03.000000,,MAXADMIN
  RODRIGOBERTI,ACTIVE                              ,2022-06-04-09.11.35.000000,,MAXADMIN
  RODRIGOBERTI,ACTIVE                              ,2024-05-10-07.00.42.000000,,MAXADMIN
  RODRIGOBERTI,ACTIVE                              ,2024-05-09-22.56.54.000000,,HELPDESK
  RODRIGOBERTI,INACTIVE                            ,2024-05-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBERTI,BLOCKED                             ,2024-05-10-06.58.39.000000,,MAXADMIN
  RODRIGOBERTI,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  RODRIGOBERTI,ACTIVE                              ,2019-07-08-11.50.57.000000,,THIAGOFROES
  RODRIGOBERTI,ACTIVE                              ,2022-06-04-09.21.35.000000,,MAXADMIN
  RODRIGOBERTI,BLOCKED                             ,2022-06-04-09.21.17.000000,,MAXADMIN
  RODRIGOC,NEWREG                              ,2024-06-09-08.33.43.000000,,MAXADMIN
  RODRIGOC,INACTIVE                            ,2024-08-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOC,ACTIVE                              ,2024-06-09-08.35.00.000000,,SINVALJUNIOR
  RODRIGOC,BLOCKED                             ,2024-06-13-06.50.28.000000,,MAXADMIN
  RODRIGOC,ACTIVE                              ,2024-06-13-06.51.19.000000,,MAXADMIN
  RODRIGOCHAMUSCA,ACTIVE                              ,2014-03-25-14.35.53.000000,,MAXADMIN
  RODRIGOCHAMUSCA,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  RODRIGOCHAMUSCA,INACTIVE                            ,2022-02-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOCHAMUSCA,ACTIVE                              ,2022-02-24-09.15.01.000000,Ticket#0230213,ITEAM
  RODRIGODEFREITAS,NEWREG                              ,2026-01-15-07.20.00.297000,,ITEAM
  RODRIGODEFREITAS,ACTIVE                              ,2026-01-15-07.34.08.263000,,FELIPEPAIXAO
  RODRIGODIAS,ACTIVE                              ,2014-03-25-17.36.28.000000,,MAXADMIN
  RODRIGODIAS,INACTIVE                            ,2017-03-20-15.37.45.000000,Saneamento usuários março/17,MAXADOOG
  RODRIGOFERNANDES,ACTIVE                              ,2024-06-19-03.20.18.000000,,SINVALJUNIOR
  RODRIGOFERNANDES,INACTIVE                            ,2024-08-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOFERNANDES,NEWREG                              ,2024-06-19-03.17.55.000000,,MAXADMIN
