IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AANDREZACSANTOS,NEWREG                              ,2025-03-26-18.07.08.000000,,MAXADMIN
  SAVIOTESTE,ACTIVE                              ,2018-03-15-16.03.31.000000,,MAXADOOG
  SAVIOTESTE,INACTIVE                            ,2019-01-25-16.28.41.000000,Inativando usuarios que nao acessaram o sistema nos ultimos seis meses,MAXADOOG
  SAYMONSERRA,NEWREG                              ,2025-04-19-13.15.13.000000,,MAXADMIN
  SAYMONSERRA,INACTIVE                            ,2026-04-08-10.55.17.601000,Usuario inativo por mais de 50 dias,MAXADMIN
  SAYMONSERRA,ACTIVE                              ,2026-01-28-09.35.09.100000,,MAXADOOG
  SAYMONSERRA,INACTIVE                            ,2025-08-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SAYMONSERRA,ACTIVE                              ,2025-04-19-13.16.28.000000,,SOCRATESREIS
  SEDIELMACIEL,NEWREG                              ,2024-02-28-19.56.36.000000,,MAXADMIN
  SEDIELMACIEL,INACTIVE                            ,2024-03-31-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  SEDIELMACIEL,ACTIVE                              ,2024-02-28-19.59.58.000000,,SOCRATESREIS
  SERGIO.COIMBRA,ACTIVE                              ,2013-10-21-08.25.20.000000,,MAXADMIN
  SERGIO.COIMBRA,INACTIVE                            ,2016-12-01-09.51.36.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  SERGIOCARDOSO,INACTIVE                            ,2022-03-03-11.45.58.000000,0230597 — Emissão de Rescisão Contratual - SERGIO VIEIRA CARDOSO - MAXIMO,ITEAM
  SERGIOCARDOSO,ACTIVE                              ,2021-06-09-17.11.08.000000,,ITEAM
  SERGIODEALELUIA,NEWREG                              ,2026-01-15-18.35.51.621000,,ITEAM
  SERGIODEALELUIA,INACTIVE                            ,2026-04-08-10.55.19.811000,Usuario inativo por mais de 50 dias,MAXADMIN
  SERGIODEALELUIA,ACTIVE                              ,2026-01-15-19.06.55.951000,,CAROLINABRAGA
  SERGIOIVERSON,NEWREG                              ,2026-07-06-02.32.31.211000,,MAXADMIN
  SERGIOIVERSON,ACTIVE                              ,2026-07-06-02.33.05.532000,,CAROLINABRAGA
  SERGIOMEDEIROS21,NEWREG                              ,2024-03-13-07.44.16.000000,,MAXREG
  SERGIOMEDEIROS21,INACTIVE                            ,2024-08-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SERGIOMEDEIROS21,ACTIVE                              ,2024-06-17-19.22.05.000000,,MAXADOOG
  SERGIOMOTACARDOSO,NEWREG                              ,2026-06-30-08.24.51.439000,,MAXADMIN
  SERGIOMOTACARDOSO,INACTIVE                            ,2026-07-01-01.00.01.277000,Automatic Inativate expired user access,MAXADMIN
  SERGIOMOTACARDOSO,ACTIVE                              ,2026-06-30-08.28.09.633000,,CAROLINABRAGA
  SERGIORAMALHO,ACTIVE                              ,2026-01-12-15.42.12.511000,,ITEAM
  SERGIORAMALHO,INACTIVE                            ,2026-04-08-10.55.18.822000,Usuario inativo por mais de 50 dias,MAXADMIN
  SERGIORAMOS,NEWREG                              ,2025-12-17-14.54.53.483000,,ITEAM
  SERGIORAMOS,INACTIVE                            ,2026-04-08-10.55.17.959000,Usuario inativo por mais de 50 dias,MAXADMIN
  SERGIORAMOS,ACTIVE                              ,2025-12-19-11.47.41.986000,,CAROLINABRAGA
  SERGIOROCHA,NEWREG                              ,2024-03-13-08.11.25.000000,,MAXADMIN
  SERGIOROCHA,INACTIVE                            ,2024-05-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SERGIOROCHA,ACTIVE                              ,2024-03-13-08.22.23.000000,,CAROLINABRAGA
  SERGIOSANTOS,NEWREG                              ,2026-02-02-17.53.29.440000,,ITEAM
  SERGIOSANTOS,INACTIVE                            ,2026-04-08-10.55.20.580000,Usuario inativo por mais de 50 dias,MAXADMIN
  SERGIOSANTOS,ACTIVE                              ,2026-02-03-15.38.39.270000,,SOCRATESREIS
  SERGIOSILVA,ACTIVE                              ,2026-03-03-10.59.30.259000,,ITEAM
  SERGIOSILVA,INACTIVE                            ,2026-04-23-07.45.01.847000,Usuario inativo por mais de 50 dias,MAXADMIN
  SERLON,ACTIVE                              ,2025-09-02-10.20.38.000000,Ticket#2025090229000102 — Erro - Criação de usuário - Serlon Vasconcelos.,ITEAM
  SERLON,INACTIVE                            ,2025-11-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SERLON,NEWREG                              ,2025-06-26-20.00.24.000000,,MAXREG
  SIDNEY,ACTIVE                              ,2025-12-23-12.26.58.804000,,ITEAM
  SIDNEY,INACTIVE                            ,2026-04-08-10.55.18.742000,Usuario inativo por mais de 50 dias,MAXADMIN
  SIDNEYJUNIOR,ACTIVE                              ,2021-10-04-09.20.35.000000,,ITEAM
  SIDNEYJUNIOR,INACTIVE                            ,2022-01-24-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILASARAUJO,ACTIVE                              ,2014-03-07-17.58.08.000000,,MAXADMIN
  SILASARAUJO,INACTIVE                            ,2017-03-20-15.13.21.000000,Saneamento usuários Março/17,MAXADOOG
  SILVAAGNALDO,NEWREG                              ,2026-04-25-14.58.51.985000,,MAXADMIN
  SILVAAGNALDO,INACTIVE                            ,2026-06-15-07.45.01.447000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVAAGNALDO,ACTIVE                              ,2026-04-25-15.01.58.956000,,SOCRATESREIS
  SILVACABOCLO,NEWREG                              ,2026-05-04-05.18.08.009000,,MAXADMIN
  SILVACABOCLO,INACTIVE                            ,2026-06-24-07.45.01.318000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVACABOCLO,ACTIVE                              ,2026-05-04-05.19.04.874000,,CAROLINABRAGA
  SILVAJARDIM,NEWREG                              ,2025-04-27-20.06.35.000000,,MAXADMIN
  SILVAJARDIM,INACTIVE                            ,2026-04-08-10.55.14.460000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVAJARDIM,ACTIVE                              ,2026-01-11-07.26.43.816000,,CAROLINABRAGA
  SILVAJOSE,INACTIVE                            ,2024-08-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVAJOSE,INACTIVE                            ,2026-04-08-10.55.13.947000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVAJOSE,ACTIVE                              ,2026-01-28-09.35.09.105000,,MAXADOOG
  SILVAJOSE,INACTIVE                            ,2025-04-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVAJOSE,INACTIVE                            ,2024-12-30-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  SILVAJOSE,BLOCKED                             ,2025-01-04-06.21.16.000000,,MAXADMIN
  SILVAJOSE,BLOCKED                             ,2024-10-07-08.22.14.000000,,MAXADMIN
  SILVAJOSE,ACTIVE                              ,2025-01-04-06.28.13.000000,,MAXADMIN
  SILVAJOSE,ACTIVE                              ,2024-12-30-07.22.23.000000,,SOCRATESREIS
  SILVAJOSE,ACTIVE                              ,2024-10-07-08.29.18.000000,,MAXADMIN
  SILVAJOSE,ACTIVE                              ,2024-10-04-14.38.19.000000,0374985,HELPDESK
  SILVAJOSE,ACTIVE                              ,2024-06-16-07.08.51.000000,,SOCRATESREIS
  SILVAJOSE,NEWREG                              ,2024-06-16-07.00.32.000000,,MAXADMIN
  SILVANAARAUJO,INACTIVE                            ,2023-04-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVANAARAUJO,ACTIVE                              ,2022-07-15-09.06.46.000000,,ITEAM
  SILVARODRIGO,NEWREG                              ,2025-12-17-14.56.43.540000,,ITEAM
  SILVARODRIGO,INACTIVE                            ,2026-04-08-10.55.17.977000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVARODRIGO,ACTIVE                              ,2025-12-19-11.48.23.355000,,CAROLINABRAGA
  SILVERIOMAIA,ACTIVE                              ,2015-10-28-11.19.29.000000,,MAXADMIN
  SILVERIOMAIA,INACTIVE                            ,2016-12-01-09.51.36.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  SILVIODASILVA,ACTIVE                              ,2025-10-10-15.08.16.000000,,ITEAM
  SILVIODASILVA,INACTIVE                            ,2025-11-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVIOPEREIRA,NEWREG                              ,2026-04-26-17.04.42.820000,,MAXADMIN
  SILVIOPEREIRA,INACTIVE                            ,2026-06-28-07.45.01.521000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVIOPEREIRA,ACTIVE                              ,2026-04-26-17.05.35.782000,,SOCRATESREIS
  SILVIOSILVA,NEWREG                              ,2025-10-15-15.01.06.000000,,ITEAM
  SILVIOSILVA,INACTIVE                            ,2026-04-08-10.55.16.399000,Usuario inativo por mais de 50 dias,MAXADMIN
  SILVIOSILVA,ACTIVE                              ,2026-01-28-09.35.09.109000,,MAXADOOG
  SILVIOSILVA,INACTIVE                            ,2025-12-31-01.00.04.534000,Automatic Inativate expired user access,MAXADMIN
  SILVIOSILVA,ACTIVE                              ,2025-10-15-15.03.10.000000,,SOCRATESREIS
  SILVIOSIQUEIRA,ACTIVE                              ,2025-03-31-09.52.30.000000,,ITEAM
  SILVIOSIQUEIRA,INACTIVE                            ,2025-05-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SMSANTOS,NEWREG                              ,2025-12-10-19.26.24.892000,,ITEAM
  SMSANTOS,INACTIVE                            ,2026-04-08-10.55.17.781000,Usuario inativo por mais de 50 dias,MAXADMIN
  SMSANTOS,ACTIVE                              ,2025-12-12-17.09.09.106000,,CAROLINABRAGA
  SOCRATESOLIVEIRA,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  SOCRATESOLIVEIRA,INACTIVE                            ,2016-12-01-09.51.36.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  SOCRATESREIS,ACTIVE                              ,2017-01-10-17.05.22.000000,,MAXADMIN
  SOCRATESREIS,BLOCKED                             ,2023-08-19-22.30.50.000000,,MAXADMIN
  SOCRATESREIS,ACTIVE                              ,2026-02-01-05.25.30.025000,,MAXADMIN
  SOCRATESREIS,BLOCKED                             ,2026-02-01-05.22.47.574000,,MAXADMIN
  SOCRATESREIS,ACTIVE                              ,2025-11-04-07.34.41.000000,,MAXADMIN
  SOCRATESREIS,BLOCKED                             ,2025-11-04-07.26.43.000000,,MAXADMIN
  SOCRATESREIS,BLOCKED                             ,2024-05-19-06.22.23.000000,,MAXADMIN
  SOCRATESREIS,ACTIVE                              ,2024-05-19-06.24.25.000000,,MAXADMIN
  SOCRATESREIS,ACTIVE                              ,2023-08-19-22.40.17.000000,,MAXADMIN
  SONIACOSTA,ACTIVE                              ,2020-07-02-09.45.40.000000,,MAXADOOG
  SONIACOSTA,INACTIVE                            ,2020-03-11-10.58.10.000000,Usuario sem acessar os ultimos seis meses,MAXADOOG
  SONIACOSTA,INACTIVE                            ,2021-06-10-21.19.32.000000,nao acessam o sistema ha mais de tres meses,MAXADOOG
  SONIACOSTA,ACTIVE                              ,2019-04-02-18.38.20.000000,,THIAGOFROES
  SOUZADYEGO,ACTIVE                              ,2025-05-05-16.42.22.000000,,ITEAM
  SOUZADYEGO,INACTIVE                            ,2025-06-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SOUZANARCISO,NEWREG                              ,2026-05-04-05.14.31.522000,,MAXADMIN
  SOUZANARCISO,INACTIVE                            ,2026-06-24-07.45.01.309000,Usuario inativo por mais de 50 dias,MAXADMIN
  SOUZANARCISO,ACTIVE                              ,2026-05-04-05.14.58.947000,,CAROLINABRAGA
  SOUZARONDINELI,NEWREG                              ,2026-01-18-05.49.55.282000,,ITEAM
  SOUZARONDINELI,INACTIVE                            ,2026-04-08-10.55.20.282000,Usuario inativo por mais de 50 dias,MAXADMIN
  SOUZARONDINELI,ACTIVE                              ,2026-01-19-19.13.23.909000,,CAROLINABRAGA
  SOUZARONDINELI,INACTIVE                            ,2026-01-19-01.00.02.870000,Automatic Inativate expired user access,MAXADMIN
  SOUZARONDINELI,ACTIVE                              ,2026-01-18-05.50.37.973000,,CAROLINABRAGA
  STAR,ACTIVE                              ,2014-01-23-19.43.00.000000,,MAXADMIN
  STAR,INACTIVE                            ,2016-12-01-09.51.36.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  STENIOROMAO,NEWREG                              ,2026-06-02-14.00.24.789000,,MAXADMIN
  STENIOROMAO,ACTIVE                              ,2026-06-02-14.00.50.275000,,CAROLINABRAGA
  STEPHANO,NEWREG                              ,2026-06-22-06.44.45.074000,,MAXADMIN
  STEPHANO,ACTIVE                              ,2026-06-22-06.45.12.525000,,SOCRATESREIS
  STEPHANOKAUTSCHER,ACTIVE                              ,2024-06-20-07.59.22.000000,,SOCRATESREIS
  STEPHANOKAUTSCHER,INACTIVE                            ,2024-11-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  STEPHANOKAUTSCHER,ACTIVE                              ,2024-10-02-14.33.22.000000,,MAXADOOG
  STEPHANOKAUTSCHER,NEWREG                              ,2024-06-20-07.57.36.000000,,MAXADMIN
  STEPHANOKAUTSCHER,INACTIVE                            ,2024-08-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  SUDEEPJADHAV,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  SUDEEPJADHAV,INACTIVE                            ,2016-12-01-09.51.36.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  TADEUFREITAS,ACTIVE                              ,2025-04-02-16.16.56.000000,,CAROLINABRAGA
  TADEUFREITAS,INACTIVE                            ,2025-05-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  TADEUFREITAS,NEWREG                              ,2025-04-02-16.11.59.000000,,MAXADMIN
  TADEUSFREITASS,NEWREG                              ,2024-08-27-19.54.24.000000,,MAXADMIN
  TADEUSFREITASS,INACTIVE                            ,2024-10-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  TADEUSFREITASS,ACTIVE                              ,2024-08-27-19.55.01.000000,,CAROLINABRAGA
  TAISMACIEL,INACTIVE                            ,2025-10-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAISMACIEL,INACTIVE                            ,2026-04-08-10.55.13.274000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAISMACIEL,ACTIVE                              ,2026-01-28-09.35.09.112000,,MAXADOOG
  TAISMACIEL,ACTIVE                              ,2025-07-08-12.48.30.000000,,CAROLINABRAGA
  TAISMACIEL,NEWREG                              ,2025-07-08-12.47.57.000000,,ITEAM
  TALESPEREIRA,ACTIVE                              ,2024-06-12-08.33.04.000000,,MAXADOOG
  TALESPEREIRA,INACTIVE                            ,2024-08-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAMIRISARAMOS,NEWREG                              ,2026-06-07-13.28.26.746000,,MAXADMIN
  TAMIRISARAMOS,ACTIVE                              ,2026-06-07-13.29.14.710000,,CAROLINABRAGA
  TAMIRISRAMOS,ACTIVE                              ,2024-12-26-07.08.59.000000,,SOCRATESREIS
  TAMIRISRAMOS,INACTIVE                            ,2026-04-08-10.55.17.548000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAMIRISRAMOS,ACTIVE                              ,2026-01-28-09.35.09.117000,,MAXADOOG
  TAMIRISRAMOS,INACTIVE                            ,2025-05-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAMIRISRAMOS,NEWREG                              ,2024-12-26-07.08.29.000000,,MAXADMIN
  TANJOS,NEWREG                              ,2026-01-16-11.57.35.331000,,ITEAM
  TANJOS,INACTIVE                            ,2026-04-30-07.45.02.312000,Usuario inativo por mais de 50 dias,MAXADMIN
  TANJOS,ACTIVE                              ,2026-01-16-13.18.45.796000,,CAROLINABRAGA
  TANKACHANJOSEPH,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  TANKACHANJOSEPH,INACTIVE                            ,2018-03-16-08.50.00.000000,Integrante desligado em 15/03/2018,MAXADOOG
  TARCIANASILVA,NEWREG                              ,2025-12-14-21.31.25.264000,,ITEAM
  TARCIANASILVA,INACTIVE                            ,2026-04-08-10.55.17.853000,Usuario inativo por mais de 50 dias,MAXADMIN
  TARCIANASILVA,ACTIVE                              ,2025-12-14-21.32.06.316000,,CAROLINABRAGA
  TARCISIOSANTOS,ACTIVE                              ,2025-12-01-08.13.56.000000,,MAXADOOG
  TARCISIOSANTOS,ACTIVE                              ,2026-05-27-15.37.28.856000,Ticket#2026052629000966 — Maximo - Status inativo,ITEAM
  TARCISIOSANTOS,INACTIVE                            ,2026-05-27-01.00.01.038000,Automatic Inativate expired user access,MAXADMIN
  TARCISIOSANTOS,ACTIVE                              ,2026-05-26-11.30.12.073000,,SOCRATESREIS
  TARCISIOSANTOS,INACTIVE                            ,2026-05-22-01.00.01.122000,Automatic Inativate expired user access,MAXADMIN
  TARCISIOSANTOS,ACTIVE                              ,2026-05-21-12.57.18.191000,,SOCRATESREIS
  TARCISIOSANTOS,INACTIVE                            ,2026-05-20-01.00.01.176000,Automatic Inativate expired user access,MAXADMIN
  TARCISIOSANTOS,ACTIVE                              ,2026-05-19-11.27.35.514000,,SOCRATESREIS
  TARCISIOSANTOS,INACTIVE                            ,2026-05-19-01.00.01.048000,Automatic Inativate expired user access,MAXADMIN
  TARCISIOSANTOS,ACTIVE                              ,2026-05-18-05.12.45.767000,,SOCRATESREIS
  TARCISIOSANTOS,INACTIVE                            ,2026-05-18-01.00.00.851000,Automatic Inativate expired user access,MAXADMIN
  TARCISIOSANTOS,ACTIVE                              ,2026-05-17-05.07.33.868000,,SOCRATESREIS
  TARCISIOSANTOS,INACTIVE                            ,2026-05-17-01.00.01.055000,Automatic Inativate expired user access,MAXADMIN
  TARCISIOSANTOS,ACTIVE                              ,2026-05-16-06.31.18.469000,,SOCRATESREIS
  TARCISIOSANTOS,INACTIVE                            ,2026-05-16-01.00.00.763000,Automatic Inativate expired user access,MAXADMIN
  TARCISIOSANTOS,ACTIVE                              ,2026-05-15-14.50.42.239000,,SOCRATESREIS
  TARCISIOSANTOS,INACTIVE                            ,2026-02-28-01.00.02.389000,Automatic Inativate expired user access,MAXADMIN
  TARIKAMARO,ACTIVE                              ,2019-08-20-14.21.04.000000,,THIAGOFROES
  TARIKAMARO,INACTIVE                            ,2020-03-11-10.58.10.000000,Usuario sem acessar os ultimos seis meses,MAXADOOG
  TAYLANNASCIMENTO,INACTIVE                            ,2025-07-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAYLANNASCIMENTO,INACTIVE                            ,2026-04-08-10.55.16.741000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAYLANNASCIMENTO,ACTIVE                              ,2026-01-28-09.35.09.121000,,MAXADOOG
  TAYLANNASCIMENTO,ACTIVE                              ,2025-05-23-19.50.53.000000,,SOCRATESREIS
  TAYLANNASCIMENTO,NEWREG                              ,2025-05-23-19.49.22.000000,,ITEAM
  TAYLERANMORAES,INACTIVE                            ,2021-10-27-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAYLERANMORAES,ACTIVE                              ,2022-02-22-08.50.58.000000,Ticket#0229854 — Funcionario nao consegue entrara,ITEAM
  TAYLERANMORAES,INACTIVE                            ,2022-04-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  TAYLERANMORAES,ACTIVE                              ,2020-09-29-13.31.42.000000,,VANIASANTOS
  TBORGES,NEWREG                              ,2026-01-16-11.13.55.526000,,ITEAM
  TBORGES,INACTIVE                            ,2026-04-08-10.55.20.002000,Usuario inativo por mais de 50 dias,MAXADMIN
  TBORGES,ACTIVE                              ,2026-01-16-13.23.24.397000,,CAROLINABRAGA
  TCAMPOS,NEWREG                              ,2025-12-18-09.20.33.223000,,ITEAM
  TCAMPOS,INACTIVE                            ,2026-04-08-10.55.18.302000,Usuario inativo por mais de 50 dias,MAXADMIN
  TCAMPOS,ACTIVE                              ,2025-12-19-12.30.00.166000,,CAROLINABRAGA
  TESTE,ACTIVE                              ,2017-06-26-19.42.54.000000,,MAXADOOG
  TESTE,INACTIVE                            ,2019-01-25-16.28.41.000000,Inativando usuarios que nao acessaram o sistema nos ultimos seis meses,MAXADOOG
  TFERREIRA,NEWREG                              ,2025-10-26-20.35.13.000000,,ITEAM
  TFERREIRA,INACTIVE                            ,2026-04-08-10.55.15.030000,Usuario inativo por mais de 50 dias,MAXADMIN
  TFERREIRA,ACTIVE                              ,2025-10-26-20.35.51.000000,,CAROLINABRAGA
  THAINACORREA,NEWREG                              ,2024-08-12-15.14.59.000000,,MAXADMIN
  THAINACORREA,ACTIVE                              ,2026-01-04-10.15.06.331000,,HELPDESK
  THAINACORREA,BLOCKED                             ,2025-10-12-08.46.25.000000,,MAXADMIN
  THAINACORREA,INACTIVE                            ,2025-12-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THAINACORREA,ACTIVE                              ,2025-10-12-08.53.22.000000,,MAXADMIN
  THAINACORREA,ACTIVE                              ,2025-02-25-15.39.11.000000,2025022529000671,HELPDESK
  THAINACORREA,INACTIVE                            ,2025-01-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THAINACORREA,ACTIVE                              ,2024-08-12-15.15.39.000000,,SOCRATESREIS
  THAISRODRIGUES,NEWREG                              ,2024-09-29-19.56.40.000000,,MAXADMIN
  THAISRODRIGUES,ACTIVE                              ,2024-09-29-19.57.41.000000,,SOCRATESREIS
  THAISRODRIGUES,INACTIVE                            ,2024-11-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THAISSAMPAIO,ACTIVE                              ,2017-05-18-12.14.19.000000,,MAXADOOG
  THAISSAMPAIO,ACTIVE                              ,2017-01-12-10.51.30.000000,,MAXADMIN
  THAISSAMPAIO,BLOCKED                             ,2017-01-25-08.59.05.000000,,MAXADMIN
  THAISSAMPAIO,INACTIVE                            ,2019-08-26-14.57.39.000000,Ticket#093825 - Rescisão Contratual,JULINECAETANO
  THALESANDRADE,NEWREG                              ,2026-05-20-10.01.42.896000,,MAXADMIN
  THALESANDRADE,ACTIVE                              ,2026-05-20-10.02.19.771000,,SOCRATESREIS
  THALESASEVEDO,INACTIVE                            ,2025-05-06-20.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THALESASEVEDO,INACTIVE                            ,2026-04-08-10.55.13.115000,Usuario inativo por mais de 50 dias,MAXADMIN
  THALESASEVEDO,ACTIVE                              ,2026-01-28-09.35.09.125000,,MAXADOOG
  THALESASEVEDO,NEWREG                              ,2025-03-04-17.31.14.000000,,MAXADMIN
  THALESASEVEDO,ACTIVE                              ,2025-03-04-17.34.38.000000,,CAROLINABRAGA
  THALESCEZAR,INACTIVE                            ,2024-03-27-06.06.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THALESCEZAR,ACTIVE                              ,2024-02-05-20.15.53.000000,,SOCRATESREIS
  THALESCEZAR,NEWREG                              ,2024-02-05-19.59.21.000000,,MAXADMIN
  THALESMORAN,ACTIVE                              ,2014-04-09-19.24.17.000000,,MAXADMIN
  THALESMORAN,INACTIVE                            ,2018-04-25-11.16.59.000000,Ticket#08682- DATA DE DESLIGAMENTO : 20/04/2018,MAXADMIN
  THALESMORAN,ACTIVE                              ,2018-04-04-13.20.43.000000,,MAXADOOG
  THALESMORAN,BLOCKED                             ,2018-04-04-13.17.10.000000,,MAXADMIN
  THALESMORAN,ACTIVE                              ,2017-07-24-08.49.12.000000,,MAXADOOG
  THALESMORAN,INACTIVE                            ,2017-03-20-15.13.21.000000,Saneamento usuários Março/17,MAXADOOG
  THALESMORAN,ACTIVE                              ,2016-09-26-10.02.43.000000,,MAXADOOG
  THALESMORAN,BLOCKED                             ,2016-09-26-08.57.55.000000,,MAXADMIN
  THALESPEREIRA,ACTIVE                              ,2019-12-11-13.39.48.000000,,MAXADMIN
  THALESPEREIRA,ACTIVE                              ,2020-05-28-12.51.16.000000,,MAXADMIN
  THALESPEREIRA,BLOCKED                             ,2019-12-11-13.35.48.000000,,MAXADMIN
  THALESPEREIRA,BLOCKED                             ,2020-02-07-11.09.03.000000,,MAXADMIN
  THALESPEREIRA,INACTIVE                            ,2021-06-10-21.19.32.000000,nao acessam o sistema ha mais de tres meses,MAXADOOG
  THALESPEREIRA,BLOCKED                             ,2020-05-28-12.48.13.000000,,MAXADMIN
  THALESPEREIRA,ACTIVE                              ,2020-02-07-11.12.33.000000,,MAXADMIN
  THALESPEREIRA,ACTIVE                              ,2019-12-05-14.49.22.000000,,THIAGOFROES
  THALYAMOUTINHO,ACTIVE                              ,2025-05-24-09.29.33.000000,,SOCRATESREIS
  THALYAMOUTINHO,INACTIVE                            ,2026-04-08-10.55.13.832000,Usuario inativo por mais de 50 dias,MAXADMIN
  THALYAMOUTINHO,ACTIVE                              ,2026-01-28-09.35.09.130000,,MAXADOOG
  THALYAMOUTINHO,INACTIVE                            ,2025-07-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THALYAMOUTINHO,NEWREG                              ,2025-05-24-09.25.04.000000,,ITEAM
  THAUANPEIXOTO,NEWREG                              ,2025-12-17-10.22.31.699000,,ITEAM
  THAUANPEIXOTO,INACTIVE                            ,2026-04-08-10.55.17.897000,Usuario inativo por mais de 50 dias,MAXADMIN
  THAUANPEIXOTO,ACTIVE                              ,2025-12-17-10.26.03.557000,,CAROLINABRAGA
  THIAGOALMEIDAHALL,ACTIVE                              ,2025-03-30-16.40.44.000000,,SOCRATESREIS
  THIAGOALMEIDAHALL,INACTIVE                            ,2026-04-08-10.55.13.137000,Usuario inativo por mais de 50 dias,MAXADMIN
  THIAGOALMEIDAHALL,ACTIVE                              ,2026-01-28-09.35.09.134000,,MAXADOOG
  THIAGOALMEIDAHALL,INACTIVE                            ,2025-05-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THIAGOALMEIDAHALL,NEWREG                              ,2025-03-30-13.15.30.000000,,MAXADMIN
  THIAGOARAUJO,ACTIVE                              ,2025-03-07-09.53.11.000000,,ITEAM
  THIAGOARAUJO,INACTIVE                            ,2026-06-05-07.45.02.025000,Usuario inativo por mais de 50 dias,MAXADMIN
  THIAGOARAUJO,ACTIVE                              ,2025-10-19-07.11.53.000000,,HELPDESK
  THIAGOARAUJO,INACTIVE                            ,2025-04-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THIAGOBASTOS,INACTIVE                            ,2025-01-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  THIAGOBASTOS,ACTIVE                              ,2024-11-22-09.49.50.000000,,ITEAM
  THIAGOBELLO,NEWREG                              ,2025-12-31-14.52.27.488000,,ITEAM
  THIAGOBELLO,INACTIVE                            ,2026-04-08-10.55.19.251000,Usuario inativo por mais de 50 dias,MAXADMIN
  THIAGOBELLO,ACTIVE                              ,2025-12-31-14.53.08.536000,,SOCRATESREIS
  THIAGOCALDAS,ACTIVE                              ,2025-12-22-11.38.53.101000,,ITEAM
  THIAGOCALDAS,INACTIVE                            ,2026-04-08-10.55.18.664000,Usuario inativo por mais de 50 dias,MAXADMIN
