IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AADOSSANTOS,NEWREG                              ,2026-01-26-02.07.47.403000,,ITEAM
  RMLIMA,ACTIVE                              ,2026-03-08-14.25.44.945000,,LEONARDOFRANCISCO
  RMOTA,NEWREG                              ,2026-03-20-17.24.57.562000,,MAXADMIN
  RMOTA,INACTIVE                            ,2026-05-20-07.45.02.307000,Usuario inativo por mais de 50 dias,MAXADMIN
  RMOTA,ACTIVE                              ,2026-03-20-17.41.16.353000,,SILVERIOMAIA
  RMPINTO,NEWREG                              ,2026-05-03-07.54.58.055000,,MAXADMIN
  RMPINTO,INACTIVE                            ,2026-06-25-07.45.01.668000,Usuario inativo por mais de 50 dias,MAXADMIN
  RMPINTO,ACTIVE                              ,2026-05-03-07.56.47.698000,,LEONARDOFRANCISCO
  RMSOUSA,NEWREG                              ,2026-02-21-17.16.16.260000,,ITEAM
  RMSOUSA,INACTIVE                            ,2026-04-13-07.45.01.660000,Usuario inativo por mais de 50 dias,MAXADMIN
  RMSOUSA,ACTIVE                              ,2026-02-21-17.18.39.790000,,LEONARDOFRANCISCO
  RMUNIZ,NEWREG                              ,2025-12-12-13.37.44.587000,,ITEAM
  RMUNIZ,INACTIVE                            ,2026-03-26-07.45.03.950000,Usuario inativo por mais de 50 dias,MAXADMIN
  RMUNIZ,ACTIVE                              ,2025-12-12-13.38.23.205000,,LEONARDOFRANCISCO
  RNUNES,INACTIVE                            ,2025-09-07-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RNUNES,ACTIVE                              ,2025-09-02-02.13.00.000000,,LEONARDOFRANCISCO
  RNUNES,NEWREG                              ,2025-09-02-02.12.17.000000,,ITEAM
  ROBERNARDO,ACTIVE                              ,2025-10-14-02.49.54.000000,,SILVERIOMAIA
  ROBERNARDO,INACTIVE                            ,2026-03-26-07.45.03.643000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERNARDO,NEWREG                              ,2025-10-14-02.44.27.000000,,ITEAM
  ROBERTAAP,INACTIVE                            ,2018-11-07-13.28.12.000000,Inativado a pedido do Isaac;,MAXADOOG
  ROBERTAAP,ACTIVE                              ,2018-09-12-13.23.17.000000,,MAXADOOG
  ROBERTAAP,BLOCKED                             ,2018-09-12-10.24.40.000000,,MAXADMIN
  ROBERTAAP,ACTIVE                              ,2018-01-26-08.51.37.000000,,JULINECAETANO
  ROBERTAMELLO,NEWREG                              ,2024-12-29-16.36.30.000000,,MAXADMIN
  ROBERTAMELLO,INACTIVE                            ,2025-03-24-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTAMELLO,ACTIVE                              ,2024-12-29-16.45.45.000000,,SILVERIOMAIA
  ROBERTAROMAES,ACTIVE                              ,2022-09-09-15.58.07.000000,,ITEAM
  ROBERTAROMAES,ACTIVE                              ,2024-11-14-11.44.16.000000,Ticket#0378264 — Acesso MAXIMO N08,ITEAM
  ROBERTAROMAES,INACTIVE                            ,2024-11-15-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTAROMAES,INACTIVE                            ,2022-11-06-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTATOSTES,ACTIVE                              ,2025-01-14-18.10.48.000000,,ITEAM
  ROBERTATOSTES,ACTIVE                              ,2018-08-21-14.20.51.000000,,MAXADMIN
  ROBERTATOSTES,INACTIVE                            ,2021-02-26-08.43.40.000000,,MAXADOOG
  ROBERTATOSTES,INACTIVE                            ,2025-01-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTMATECKI,ACTIVE                              ,2014-09-04-13.39.07.000000,,MAXADMIN
  ROBERTMATECKI,INACTIVE                            ,2018-07-30-10.45.44.000000,Ticket#014165 — Rescisão Contratual - 27/07/18,JULINECAETANO
  ROBERTMCCULLAGH,INACTIVE                            ,2016-12-01-09.45.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ROBERTMCCULLAGH,ACTIVE                              ,2014-05-12-17.11.50.000000,,MAXADMIN
  ROBERTMENDONCA,ACTIVE                              ,2025-02-08-15.47.38.000000,,LEONARDOFRANCISCO
  ROBERTMENDONCA,INACTIVE                            ,2025-04-12-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTMENDONCA,ACTIVE                              ,2025-02-18-08.13.13.000000,,MAXADMIN
  ROBERTMENDONCA,NEWREG                              ,2025-02-08-15.37.13.000000,,ITEAM
  ROBERTMENDONCA,BLOCKED                             ,2025-02-18-08.10.10.000000,,MAXADMIN
  ROBERTOCARLOSSOUZA,ACTIVE                              ,2024-04-13-16.36.34.000000,,LEONARDOFRANCISCO
  ROBERTOCARLOSSOUZA,INACTIVE                            ,2024-04-14-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ROBERTOCARLOSSOUZA,INACTIVE                            ,2024-07-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOCARLOSSOUZA,ACTIVE                              ,2024-04-15-11.38.16.000000,Ticket#0350789 — Acesso ao maximo,ITEAM
  ROBERTOCARLOSSOUZA,NEWREG                              ,2024-04-13-16.20.27.000000,,MAXADMIN
  ROBERTOCOELHO,ACTIVE                              ,2022-05-03-14.36.43.000000,,ITEAM
  ROBERTOCOELHO,INACTIVE                            ,2022-06-23-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOGOMES,ACTIVE                              ,2025-03-07-15.49.04.000000,,LEONARDOFRANCISCO
  ROBERTOGOMES,INACTIVE                            ,2025-09-30-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOGOMES,NEWREG                              ,2025-03-07-15.46.34.000000,,ITEAM
  ROBERTOJUNIOR,ACTIVE                              ,2022-05-03-15.21.07.000000,,ITEAM
  ROBERTOJUNIOR,INACTIVE                            ,2023-07-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTOJUNIOR,ACTIVE                              ,2023-05-27-07.30.51.000000,,MAXADMIN
  ROBERTOJUNIOR,BLOCKED                             ,2023-05-27-07.26.50.000000,,MAXADMIN
  ROBERTOSILVA,ACTIVE                              ,2021-02-10-15.28.32.000000,,ITEAM
  ROBERTOSILVA,INACTIVE                            ,2021-12-22-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBERTSTEVENSON,ACTIVE                              ,2017-11-01-14.57.05.000000,,PAULOPARREIRA
  ROBERTSTEVENSON,INACTIVE                            ,2019-01-18-09.09.12.000000,Ticket#028008--Data de desligamento: 16/01/2019,MAXADMIN
  ROBSONARCIZO,INACTIVE                            ,2023-12-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONARCIZO,ACTIVE                              ,2024-02-03-06.42.35.000000,Ticket#0339220,HELPDESK
  ROBSONARCIZO,ACTIVE                              ,2024-05-28-13.34.43.000000,Ticket#0358650,HELPDESK
  ROBSONARCIZO,ACTIVE                              ,2025-04-25-13.58.31.000000,2025042529000453,HELPDESK
  ROBSONARCIZO,INACTIVE                            ,2024-05-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONARCIZO,INACTIVE                            ,2025-01-26-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONARCIZO,ACTIVE                              ,2023-10-19-15.28.50.000000,,ITEAM
  ROBSONCASSIANO,ACTIVE                              ,2025-01-25-06.21.00.000000,,SILVERIOMAIA
  ROBSONCASSIANO,INACTIVE                            ,2025-03-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONCASSIANO,NEWREG                              ,2025-01-25-06.19.47.000000,,MAXADMIN
  ROBSONCEZAR,NEWREG                              ,2024-12-13-08.59.59.000000,,MAXADMIN
  ROBSONCEZAR,INACTIVE                            ,2025-02-02-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONCEZAR,ACTIVE                              ,2024-12-13-09.01.04.000000,,LEONARDOFRANCISCO
  ROBSONDASILVA,NEWREG                              ,2024-08-11-16.33.01.000000,,MAXADMIN
  ROBSONDASILVA,ACTIVE                              ,2024-08-11-16.33.57.000000,,LEONARDOFRANCISCO
  ROBSONDASILVA,INACTIVE                            ,2024-10-08-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONROSAFMC,NEWREG                              ,2025-01-21-17.04.31.000000,,MAXADMIN
  ROBSONROSAFMC,ACTIVE                              ,2025-07-12-13.50.28.000000,,SILVERIOMAIA
  ROBSONROSAFMC,INACTIVE                            ,2025-09-01-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBSONROSAFMC,ACTIVE                              ,2025-01-21-17.05.59.000000,,LEONARDOFRANCISCO
  ROBSONROSAFMC,INACTIVE                            ,2025-02-04-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ROBSONVALENTE,ACTIVE                              ,2014-05-13-11.29.58.000000,,MAXADMIN
  ROBSONVALENTE,INACTIVE                            ,2017-03-20-15.00.46.000000,Saneamento março/17,MAXADOOG
  ROBUSTI,ACTIVE                              ,2024-02-02-13.34.19.000000,,SILVERIOMAIA
  ROBUSTI,INACTIVE                            ,2024-04-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROBUSTI,NEWREG                              ,2024-02-02-13.25.14.000000,,MAXADMIN
  ROCHALUCAS,NEWREG                              ,2025-12-10-14.47.29.243000,,ITEAM
  ROCHALUCAS,INACTIVE                            ,2026-03-26-07.45.03.932000,Usuario inativo por mais de 50 dias,MAXADMIN
  ROCHALUCAS,ACTIVE                              ,2025-12-22-17.46.02.108000,,MAXADMIN
  ROCHALUCAS,BLOCKED                             ,2025-12-22-17.41.07.400000,,MAXADMIN
  ROCHALUCAS,ACTIVE                              ,2025-12-10-14.48.49.836000,,SILVERIOMAIA
  RODIONSERDYUKOV,ACTIVE                              ,2020-06-05-10.05.41.000000,,MAXADMIN
  RODIONSERDYUKOV,ACTIVE                              ,2021-03-26-12.50.07.000000,,MAXADMIN
  RODIONSERDYUKOV,BLOCKED                             ,2021-03-26-12.49.24.000000,,MAXADMIN
  RODIONSERDYUKOV,ACTIVE                              ,2020-06-06-12.15.41.000000,,MAXADMIN
  RODIONSERDYUKOV,BLOCKED                             ,2020-06-05-10.01.42.000000,,MAXADMIN
  RODIONSERDYUKOV,ACTIVE                              ,2017-10-31-14.55.12.000000,,MAXADOOG
  RODIONSERDYUKOV,BLOCKED                             ,2020-06-06-12.13.44.000000,,MAXADMIN
  RODNEYKIRLIAN,INACTIVE                            ,2025-09-15-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODNEYKIRLIAN,ACTIVE                              ,2026-06-19-14.03.37.578000,,SILVERIOMAIA
  RODNEYKIRLIAN,INACTIVE                            ,2026-03-26-07.45.01.785000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODNEYKIRLIAN,ACTIVE                              ,2026-01-06-10.23.42.954000,,SILVERIOMAIA
  RODNEYKIRLIAN,INACTIVE                            ,2026-01-06-01.00.01.132000,Automatic Inativate expired user access,MAXADMIN
  RODNEYKIRLIAN,ACTIVE                              ,2026-01-05-06.17.27.959000,,SILVERIOMAIA
  RODNEYKIRLIAN,INACTIVE                            ,2025-12-31-01.00.01.821000,Automatic Inativate expired user access,MAXADMIN
  RODNEYKIRLIAN,ACTIVE                              ,2025-11-29-10.58.27.000000,,SILVERIOMAIA
  RODNEYKIRLIAN,ACTIVE                              ,2025-06-25-10.00.19.000000,,ITEAM
  RODOLFOAUGUSTO,INACTIVE                            ,2025-05-17-19.59.00.000000,,UELITONJUNIOR
  RODOLFOAUGUSTO,NEWREG                              ,2025-04-27-16.46.22.000000,,ITEAM
  RODOLFOBATISTA,NEWREG                              ,2026-05-29-22.53.04.618000,,MAXADMIN
  RODOLFOBATISTA,INACTIVE                            ,2026-07-07-01.00.02.423000,Automatic Inativate expired user access,MAXADMIN
  RODOLFOBATISTA,ACTIVE                              ,2026-07-06-03.04.29.425000,,LEONARDOFRANCISCO
  RODOLFOBATISTA,INACTIVE                            ,2026-06-12-01.00.06.127000,Automatic Inativate expired user access,MAXADMIN
  RODOLFOBATISTA,ACTIVE                              ,2026-05-30-05.00.21.819000,,SILVERIOMAIA
  RODOLFOPIRESVIEIRA,NEWREG                              ,2025-04-27-15.39.09.000000,,ITEAM
  RODOLFOPIRESVIEIRA,INACTIVE                            ,2025-11-19-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOPIRESVIEIRA,ACTIVE                              ,2025-09-29-09.01.35.000000,,HELPDESK
  RODOLFOPIRESVIEIRA,INACTIVE                            ,2025-05-17-19.59.07.000000,,UELITONJUNIOR
  RODOLFORANGEL,ACTIVE                              ,2025-01-04-13.45.12.000000,,SILVERIOMAIA
  RODOLFORANGEL,INACTIVE                            ,2025-03-07-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFORANGEL,NEWREG                              ,2025-01-04-13.44.27.000000,,MAXADMIN
  RODOLFOREAL,ACTIVE                              ,2025-01-23-06.45.18.000000,,MAXADMIN
  RODOLFOREAL,ACTIVE                              ,2026-07-05-19.21.23.379000,2026070529000153,HELPDESK
  RODOLFOREAL,INACTIVE                            ,2026-05-31-07.45.02.303000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOREAL,ACTIVE                              ,2026-04-05-14.38.05.197000,,UELITONJUNIOR
  RODOLFOREAL,INACTIVE                            ,2025-10-09-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOREAL,ACTIVE                              ,2025-07-07-06.23.01.000000,,LEONARDOFRANCISCO
  RODOLFOREAL,ACTIVE                              ,2024-10-31-20.36.14.000000,,SILVERIOMAIA
  RODOLFOREAL,NEWREG                              ,2024-10-31-20.27.54.000000,,MAXADMIN
  RODOLFOREAL,INACTIVE                            ,2025-05-13-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOREAL,BLOCKED                             ,2025-01-23-06.41.15.000000,,MAXADMIN
  RODOLFOSOUZA,NEWREG                              ,2024-07-16-16.37.20.000000,,MAXADMIN
  RODOLFOSOUZA,ACTIVE                              ,2024-07-16-16.41.11.000000,,SILVERIOMAIA
  RODOLFOSOUZA,INACTIVE                            ,2024-09-17-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOVIEIRA,NEWREG                              ,2024-07-13-10.23.02.000000,,MAXADMIN
  RODOLFOVIEIRA,INACTIVE                            ,2024-07-27-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  RODOLFOVIEIRA,NEWREG                              ,2025-04-27-15.37.32.000000,,ITEAM
  RODOLFOVIEIRA,INACTIVE                            ,2025-04-28-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLFOVIEIRA,ACTIVE                              ,2025-04-27-15.50.09.000000,,SILVERIOMAIA
  RODOLFOVIEIRA,ACTIVE                              ,2024-07-13-10.26.43.000000,,SILVERIOMAIA
  RODOLPHOFIGUEIREDO,ACTIVE                              ,2024-03-13-19.43.55.000000,,LEONARDOFRANCISCO
  RODOLPHOFIGUEIREDO,INACTIVE                            ,2024-05-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODOLPHOFIGUEIREDO,NEWREG                              ,2024-03-13-19.32.13.000000,,MAXADMIN
  RODRIGOACARDOSO,ACTIVE                              ,2018-04-20-10.31.20.000000,,MAXADMIN
  RODRIGOACARDOSO,INACTIVE                            ,2020-08-04-10.12.03.000000,Ticket#0165693 - Rescisão Contratual - 03/08/20,JULINECAETANO
  RODRIGOARAUJO,ACTIVE                              ,2025-04-13-16.05.15.000000,,LEONARDOFRANCISCO
  RODRIGOARAUJO,INACTIVE                            ,2026-05-01-07.45.02.306000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOARAUJO,ACTIVE                              ,2026-03-08-15.16.37.422000,,UELITONJUNIOR
  RODRIGOARAUJO,INACTIVE                            ,2025-10-20-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOARAUJO,NEWREG                              ,2025-04-13-15.53.29.000000,,ITEAM
  RODRIGOBALVES,ACTIVE                              ,2025-05-02-17.15.24.000000,,UELITONJUNIOR
  RODRIGOBALVES,INACTIVE                            ,2025-06-26-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBALVES,NEWREG                              ,2025-05-02-17.14.30.000000,,ITEAM
  RODRIGOBASTOS,INACTIVE                            ,2021-11-05-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBASTOS,ACTIVE                              ,2021-03-25-10.46.09.000000,,MAXADOOG
  RODRIGOBATISTA,NEWREG                              ,2024-05-27-19.59.43.000000,,MAXADMIN
  RODRIGOBATISTACONTARATO,NEWREG                              ,2024-05-26-15.50.55.000000,,MAXADMIN
  RODRIGOBATISTACONTARATO,ACTIVE                              ,2024-05-26-15.55.52.000000,,SILVERIOMAIA
  RODRIGOBATISTACONTARATO,INACTIVE                            ,2024-07-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBCONTARATO,NEWREG                              ,2024-05-27-20.08.16.000000,,MAXADMIN
  RODRIGOBCONTARATO,ACTIVE                              ,2024-05-27-20.08.58.000000,,SILVERIOMAIA
  RODRIGOBCONTARATO,INACTIVE                            ,2024-07-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBINDONEPINTOSEARA,INACTIVE                            ,2024-12-26-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBINDONEPINTOSEARA,NEWREG                              ,2024-11-05-15.05.05.000000,,MAXADMIN
  RODRIGOBINDONEPINTOSEARA,ACTIVE                              ,2024-11-05-15.06.04.000000,,SILVERIOMAIA
  RODRIGOBRANCO,INACTIVE                            ,2025-01-03-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOBRANCO,NEWREG                              ,2024-11-01-21.03.41.000000,,MAXADMIN
  RODRIGOBRANCO,ACTIVE                              ,2024-11-01-21.05.05.000000,,SILVERIOMAIA
  RODRIGOCANDIDO,NEWREG                              ,2023-11-28-08.37.14.000000,,MAXADMIN
  RODRIGOCANDIDO,INACTIVE                            ,2024-01-18-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOCANDIDO,ACTIVE                              ,2023-11-28-08.55.07.000000,,JOAOBARROS
  RODRIGOCESAR,ACTIVE                              ,2025-09-08-15.47.25.000000,,ITEAM
  RODRIGOCESAR,INACTIVE                            ,2026-03-26-07.45.02.805000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOCONTARATO,NEWREG                              ,2024-05-26-15.40.23.000000,,MAXADMIN
  RODRIGOCONTARATO,INACTIVE                            ,2024-07-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOCONTARATO,ACTIVE                              ,2024-05-26-15.54.46.000000,,SILVERIOMAIA
  RODRIGOCOSTA,INACTIVE                            ,2024-05-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOCOSTA,ACTIVE                              ,2024-02-02-06.53.25.000000,,SILVERIOMAIA
  RODRIGOCOSTA,NEWREG                              ,2024-02-02-06.49.25.000000,,MAXADMIN
  RODRIGOCUSANDEI,ACTIVE                              ,2020-07-13-15.58.26.000000,,MAXADMIN
  RODRIGOCUSANDEI,INACTIVE                            ,2021-02-26-08.47.21.000000,Usuario sem acessar o sistema,MAXADOOG
  RODRIGODOSSANTOS,NEWREG                              ,2024-06-18-14.50.40.000000,,MAXADMIN
  RODRIGODOSSANTOS,ACTIVE                              ,2024-06-18-14.51.43.000000,,SILVERIOMAIA
  RODRIGODOSSANTOS,INACTIVE                            ,2024-08-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOFAGUNDES,ACTIVE                              ,2024-08-10-15.35.28.000000,,LEONARDOFRANCISCO
  RODRIGOFAGUNDES,INACTIVE                            ,2025-09-28-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOFAGUNDES,ACTIVE                              ,2025-07-26-15.59.36.000000,,LEONARDOFRANCISCO
  RODRIGOFAGUNDES,NEWREG                              ,2025-07-26-15.55.01.000000,,ITEAM
  RODRIGOFAGUNDES,NEWREG                              ,2024-08-10-15.32.36.000000,,MAXADMIN
  RODRIGOFAGUNDES,INACTIVE                            ,2024-10-02-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOFERNANDES,NEWREG                              ,2026-03-01-14.17.16.192000,,MAXADMIN
  RODRIGOFERNANDES,ACTIVE                              ,2026-03-01-14.18.13.661000,,SILVERIOMAIA
  RODRIGOGODINHO,NEWREG                              ,2025-01-31-21.22.43.000000,,MAXADMIN
  RODRIGOGODINHO,INACTIVE                            ,2025-03-27-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOGODINHO,ACTIVE                              ,2025-01-31-21.24.24.000000,,SILVERIOMAIA
  RODRIGOGOES,ACTIVE                              ,2017-07-17-13.08.44.000000,,MAXADMIN
  RODRIGOGOES,INACTIVE                            ,2019-01-25-16.22.20.000000,Inativando usuarios que não acessaram o sistema nos ultimos seis meses,MAXADOOG
  RODRIGOGUIMARAES,ACTIVE                              ,2023-10-24-15.17.22.000000,,ITEAM
  RODRIGOGUIMARAES,INACTIVE                            ,2023-12-14-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOGUIMARAES,ACTIVE                              ,2024-10-16-09.48.17.000000,Ticket#0375739 — Acesso ao MAXIMO das sondas,ITEAM
  RODRIGOGUIMARAES,INACTIVE                            ,2024-12-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOLCHAGAS,NEWREG                              ,2025-02-01-17.43.39.000000,,MAXADMIN
  RODRIGOLCHAGAS,ACTIVE                              ,2026-05-24-10.10.47.791000,,SILVERIOMAIA
  RODRIGOLCHAGAS,INACTIVE                            ,2025-12-01-08.01.42.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOLCHAGAS,ACTIVE                              ,2025-04-19-14.56.46.000000,,HELPDESK
  RODRIGOLCHAGAS,INACTIVE                            ,2025-03-26-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOLCHAGAS,ACTIVE                              ,2025-02-03-10.34.09.000000,,ITEAM
  RODRIGOLEITE,NEWREG                              ,2024-03-11-14.24.51.000000,,MAXADMIN
  RODRIGOLEITE,INACTIVE                            ,2024-05-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOLEITE,ACTIVE                              ,2024-03-11-14.27.33.000000,,LEONARDOFRANCISCO
  RODRIGOLEITES,INACTIVE                            ,2024-10-02-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOLEITES,ACTIVE                              ,2024-08-12-16.50.38.000000,,SILVERIOMAIA
  RODRIGOLEITES,NEWREG                              ,2024-08-12-16.39.29.000000,,MAXADMIN
  RODRIGOLOURENCO,NEWREG                              ,2025-02-01-17.46.08.000000,,MAXADMIN
  RODRIGOLOURENCO,INACTIVE                            ,2025-05-17-19.59.19.000000,,UELITONJUNIOR
  RODRIGOLOURENCOCHAGAS,ACTIVE                              ,2025-02-01-17.48.26.000000,,SILVERIOMAIA
  RODRIGOLOURENCOCHAGAS,INACTIVE                            ,2025-03-24-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOLOURENCOCHAGAS,NEWREG                              ,2025-02-01-17.47.35.000000,,MAXADMIN
  RODRIGOLSILVA,INACTIVE                            ,2024-10-01-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOLSILVA,ACTIVE                              ,2024-08-11-09.47.36.000000,,SILVERIOMAIA
  RODRIGOLSILVA,NEWREG                              ,2024-08-11-09.45.40.000000,,MAXADMIN
  RODRIGOMAGALHAES,NEWREG                              ,2025-02-08-15.44.04.000000,,ITEAM
  RODRIGOMAGALHAES,INACTIVE                            ,2025-05-11-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOMAGALHAES,ACTIVE                              ,2025-02-08-15.48.32.000000,,LEONARDOFRANCISCO
  RODRIGOMETZ,ACTIVE                              ,2014-05-26-15.47.47.000000,,MAXADMIN
  RODRIGOMOTTA,ACTIVE                              ,2015-12-11-16.41.28.000000,,MAXADMIN
  RODRIGOMOTTA,INACTIVE                            ,2016-12-01-09.45.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  RODRIGOOGANE,INACTIVE                            ,2024-12-25-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOOGANE,ACTIVE                              ,2024-11-04-13.08.01.000000,,SILVERIOMAIA
  RODRIGOOGANE,NEWREG                              ,2024-11-04-13.02.56.000000,,MAXADMIN
  RODRIGOOLIVEIRA,NEWREG                              ,2023-12-10-10.48.00.000000,,MAXADMIN
  RODRIGOOLIVEIRA,ACTIVE                              ,2023-12-10-19.19.12.000000,,SILVERIOMAIA
  RODRIGOOLIVEIRA,INACTIVE                            ,2024-01-30-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOPEREIRASILVA,NEWREG                              ,2025-03-15-16.32.55.000000,,ITEAM
  RODRIGOPEREIRASILVA,INACTIVE                            ,2025-12-31-01.00.02.153000,Automatic Inativate expired user access,MAXADMIN
  RODRIGOPEREIRASILVA,ACTIVE                              ,2025-11-15-20.30.45.000000,,LEONARDOFRANCISCO
  RODRIGOPEREIRASILVA,INACTIVE                            ,2025-05-06-19.59.51.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOPEREIRASILVA,ACTIVE                              ,2025-03-15-16.37.50.000000,,LEONARDOFRANCISCO
  RODRIGORIBEIRO,ACTIVE                              ,2020-06-15-18.17.33.000000,,MAXADMIN
  RODRIGOROCHA,INACTIVE                            ,2023-12-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOROCHA,ACTIVE                              ,2025-04-01-10.29.14.000000,Ticket#2025040129000051 — RES: Problemas com acesso no Máximo,ITEAM
  RODRIGOROCHA,ACTIVE                              ,2026-05-21-14.13.23.633000,,MAXADMIN
  RODRIGOROCHA,BLOCKED                             ,2026-05-21-14.04.15.815000,,MAXADMIN
  RODRIGOROCHA,ACTIVE                              ,2025-10-11-20.21.47.000000,,HELPDESK
  RODRIGOROCHA,INACTIVE                            ,2025-08-31-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  RODRIGOROCHA,ACTIVE                              ,2023-10-19-15.57.49.000000,,ITEAM
  RODRIGOROCHA,ACTIVE                              ,2025-04-01-11.40.56.000000,,MAXADMIN
  RODRIGOROCHA,BLOCKED                             ,2025-04-01-11.32.56.000000,,MAXADMIN
  RODRIGORODRIGUESSOUZA,NEWREG                              ,2024-05-05-10.12.13.000000,,MAXADMIN
  RODRIGORODRIGUESSOUZA,ACTIVE                              ,2024-05-05-10.17.36.000000,,LEONARDOFRANCISCO
  RODRIGORODRIGUESSOUZA,INACTIVE                            ,2024-06-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
